        Element         Pos [m]     Min. X [mm]    Media X [mm]     Max. X [mm]     Min. Y [mm]    Media Y [mm]     Max. Y [mm]
         INICIO       0.0000000      -2.0867724       0.0065424       1.6223821      -0.2243163       0.0002140       0.2276157
            MQF       0.0000000      -2.0867724       0.0065424       1.6223821      -0.2243163       0.0002140       0.2276157
             QF       0.0000000      -2.0867724       0.0065424       1.6223821      -0.2243163       0.0002140       0.2276157
            HLT       0.1000000      -2.0688388       0.0064635       1.6066596      -0.2252306       0.0001995       0.2274512
            MLT       1.1730000      -1.6659558       0.0049915       1.2771174      -0.2886675       0.0000653       0.2754768
            HLT       1.1730000      -1.6659558       0.0049915       1.2771174      -0.2886675       0.0000653       0.2754768
            HLT       2.2460000      -1.2630728       0.0035194       0.9586210      -0.3582651      -0.0000689       0.3275422
            MLT       3.3190000      -0.8601897       0.0020474       0.6462807      -0.4278627      -0.0002031       0.3808228
            HLT       3.3190000      -0.8601897       0.0020474       0.6462807      -0.4278627      -0.0002031       0.3808228
             PB       4.1990000      -0.5297731       0.0008401       0.4444563      -0.4849418      -0.0003132       0.4286385
              B       4.1990000      -0.5297731       0.0008401       0.4444563      -0.4849418      -0.0003132       0.4286385
              B       4.2000000      -0.5293976       0.0008387       0.4442270      -0.4850067      -0.0003133       0.4287054
              B       4.3580000      -0.4703253       0.0006155       0.4081141      -0.4952887      -0.0003331       0.4393043
              B       4.3880000      -0.4592395       0.0005732       0.4013347      -0.4972258      -0.0003368       0.4413029
              B       4.4220000      -0.4469944       0.0005255       0.3938526      -0.4993375      -0.0003410       0.4434934
              B       4.5800000      -0.3959521       0.0003081       0.3627350      -0.5077096      -0.0003595       0.4523873
              B       4.7720000      -0.3468140       0.0000520       0.3329936      -0.5144714      -0.0003796       0.4601441
              B       4.9680000      -0.3110566      -0.0002020       0.3117541      -0.5170844      -0.0003968       0.4642157
              B       5.1640000      -0.2941013      -0.0004506       0.2996282      -0.5151908      -0.0004107       0.4642330
              B       5.3560000      -0.3244724      -0.0006909       0.3143905      -0.5091249      -0.0004209       0.4604499
              B       5.5140000      -0.3620391      -0.0008868       0.3449446      -0.5013134      -0.0004269       0.4547848
              B       5.5480000      -0.3709679      -0.0009289       0.3521993      -0.4993205      -0.0004280       0.4532829
              B       5.5780000      -0.3790360      -0.0009660       0.3587544      -0.4974878      -0.0004288       0.4518901
              B       5.7360000      -0.4362534      -0.0011611       0.3936301      -0.4877531      -0.0004333       0.4444808
             PB       5.7370000      -0.4366296      -0.0011623       0.3938516      -0.4876917      -0.0004333       0.4444341
            L25       5.7370000      -0.4366296      -0.0011623       0.3938516      -0.4876917      -0.0004333       0.4444341
             SD       5.7940000      -0.4580772      -0.0012350       0.4064711      -0.4841914      -0.0004349       0.4417720
           LM45       5.9940000      -0.5333317      -0.0014900       0.4645494      -0.4719099      -0.0004406       0.4324310
            BPM       7.6900000      -1.1714903      -0.0036522       0.9655522      -0.3677624      -0.0004885       0.3532195
           LM35       7.6900000      -1.1714903      -0.0036522       0.9655522      -0.3677624      -0.0004885       0.3532195
