# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -5.7071044188231757e-01 +0.0000000000000000e+00
1.0000000000000001e-01 -2.8515781875489897e-07 +0.0000000000000000e+00 +9.9999999999457911e-02 +0.0000000000000000e+00 -5.7071044410808836e-01 +0.0000000000000000e+00
2.0000000000000001e-01 -1.1406312772345519e-06 +0.0000000000000000e+00 +1.9999999999566320e-01 +0.0000000000000000e+00 -5.7071045078540061e-01 +0.0000000000000000e+00
3.0000000000000004e-01 -2.5664203820838268e-06 +0.0000000000000000e+00 +2.9999999998536331e-01 +0.0000000000000000e+00 -5.7071046191425445e-01 +0.0000000000000000e+00
4.0000000000000002e-01 -4.5625251443775036e-06 +0.0000000000000000e+00 +3.9999999996530561e-01 +0.0000000000000000e+00 -5.7071047749464998e-01 +0.0000000000000000e+00
5.0000000000000000e-01 -7.1289455796202745e-06 +0.0000000000000000e+00 +4.9999999993223754e-01 +0.0000000000000000e+00 -5.7071049752658731e-01 +0.0000000000000000e+00
5.9999999999999998e-01 -1.0265681707746743e-05 +0.0000000000000000e+00 +5.9999999988290642e-01 +0.0000000000000000e+00 -5.7071052201006667e-01 +0.0000000000000000e+00
6.9999999999999996e-01 -1.3972733553121427e-05 +0.0000000000000000e+00 +6.9999999981405969e-01 +0.0000000000000000e+00 -5.7071055094508805e-01 +0.0000000000000000e+00
7.9999999999999993e-01 -1.8250101144538752e-05 +0.0000000000000000e+00 +7.9999999972244484e-01 +0.0000000000000000e+00 -5.7071058433165178e-01 +0.0000000000000000e+00
8.9999999999999991e-01 -2.3097784515223068e-05 +0.0000000000000000e+00 +8.9999999960480914e-01 +0.0000000000000000e+00 -5.7071062216975821e-01 +0.0000000000000000e+00
9.9999999999999989e-01 -2.8515783702828623e-05 +0.0000000000000000e+00 +9.9999999945790008e-01 +0.0000000000000000e+00 -5.7071066445940755e-01 +0.0000000000000000e+00
1.0999999999999999e+00 -3.4504098749439588e-05 +0.0000000000000000e+00 +1.0999999992784650e+00 +0.0000000000000000e+00 -5.7071071120060013e-01 +0.0000000000000000e+00
1.2000000000000000e+00 -4.1062729701570043e-05 +0.0000000000000000e+00 +1.1999999990632513e+00 +0.0000000000000000e+00 -5.7071076239333629e-01 +0.0000000000000000e+00
1.3000000000000000e+00 -4.8191676610163988e-05 +0.0000000000000000e+00 +1.2999999988090063e+00 +0.0000000000000000e+00 -5.7071081803761636e-01 +0.0000000000000000e+00
1.4000000000000001e+00 -5.5890939530595327e-05 +0.0000000000000000e+00 +1.3999999985124776e+00 +0.0000000000000000e+00 -5.7071087813344101e-01 +0.0000000000000000e+00
1.5000000000000002e+00 -6.4160518522667886e-05 +0.0000000000000000e+00 +1.4999999981704124e+00 +0.0000000000000000e+00 -5.7071094268081057e-01 +0.0000000000000000e+00
1.6000000000000003e+00 -7.3000413650615414e-05 +0.0000000000000000e+00 +1.5999999977795580e+00 +0.0000000000000000e+00 -5.7071101167972538e-01 +0.0000000000000000e+00
1.7000000000000004e+00 -8.2410624983101559e-05 +0.0000000000000000e+00 +1.6999999973366622e+00 +0.0000000000000000e+00 -5.7071108513018631e-01 +0.0000000000000000e+00
1.8000000000000005e+00 -9.2391152593219897e-05 +0.0000000000000000e+00 +1.7999999968384719e+00 +0.0000000000000000e+00 -5.7071116303219360e-01 +0.0000000000000000e+00
