# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.0043261051177979e+00 +0.0000000000000000e+00
1.0000000000000001e-01 -1.0014664588211310e-06 +0.0000000000000000e+00 +9.9999999993313771e-02 -2.5288559626619585e-24 -2.0043061731812779e+00 -4.4240125179134467e-21
2.0000000000000001e-01 -4.0058525560696459e-06 +0.0000000000000000e+00 +1.9999999994651058e-01 -5.0576815336097677e-24 -2.0042862409579589e+00 -8.8479718681788254e-21
3.0000000000000004e-01 -9.0131383721056335e-06 +0.0000000000000000e+00 +2.9999999981947456e-01 -7.5864463214987543e-24 -2.0042663084475660e+00 -1.3271824883794433e-20
4.0000000000000002e-01 -1.6023303986198866e-05 +0.0000000000000000e+00 +3.9999999957209098e-01 -1.0115119935387366e-23 -2.0042463756498234e+00 -1.7695518398463793e-20
5.0000000000000000e-01 -2.5036329476528575e-05 +0.0000000000000000e+00 +4.9999999916424642e-01 -1.2643671984737251e-23 -2.0042264425644549e+00 -2.2118999246595794e-20
5.9999999999999998e-01 -3.6052194920183231e-05 +0.0000000000000000e+00 +5.9999999855582864e-01 -1.5172072079413317e-23 -2.0042065091911860e+00 -2.6542214263304789e-20
6.9999999999999996e-01 -4.9070880393160300e-05 +0.0000000000000000e+00 +6.9999999770672638e-01 -1.7700289829683791e-23 -2.0041865755297397e+00 -3.0965110284410711e-20
7.9999999999999993e-01 -6.4092365970366041e-05 +0.0000000000000000e+00 +7.9999999657682985e-01 -2.0228294846220322e-23 -2.0041666415798414e+00 -3.5387634146439220e-20
8.9999999999999991e-01 -8.1116631725615247e-05 +0.0000000000000000e+00 +8.9999999512603046e-01 -2.2756056740098008e-23 -2.0041467073412145e+00 -3.9809732686621814e-20
9.9999999999999989e-01 -1.0014365773163103e-04 +0.0000000000000000e+00 +9.9999999331422063e-01 -2.5283545122795487e-23 -2.0041267728135841e+00 -4.4231352742895907e-20
1.0999999999999999e+00 -1.2117341732938031e-04 +0.0000000000000000e+00 +1.0999999911012954e+00 -2.2754233723522920e-23 -2.0040664260511138e+00 -3.9806543478431379e-20
1.2000000000000000e+00 -1.4420585693607815e-04 +0.0000000000000000e+00 +1.1999999884471579e+00 -2.0225053690685618e-23 -2.0040060789965706e+00 -3.5381964028065634e-20
1.3000000000000000e+00 -1.6924091623718091e-04 +0.0000000000000000e+00 +1.2999999853117159e+00 -1.7696035752507111e-23 -2.0039457316524030e+00 -3.0957668148140520e-20
1.4000000000000001e+00 -1.9627853491705329e-04 +0.0000000000000000e+00 +1.3999999816548807e+00 -1.5167210297909759e-23 -2.0038853840183570e+00 -2.6533709001420096e-20
1.5000000000000002e+00 -2.2531865265896817e-04 +0.0000000000000000e+00 +1.4999999774365675e+00 -1.2638607714595083e-23 -2.0038250360941796e+00 -2.2110139748532703e-20
1.6000000000000003e+00 -2.5636120914510654e-04 +0.0000000000000000e+00 +1.5999999726166951e+00 -1.0110258389043713e-23 -2.0037646878796163e+00 -1.7687013547970806e-20
1.7000000000000004e+00 -2.8940614405655729e-04 +0.0000000000000000e+00 +1.6999999671551858e+00 -7.5821927065153123e-24 -2.0037043393744143e+00 -1.3264383556090922e-20
1.8000000000000005e+00 -3.2445339707331725e-04 +0.0000000000000000e+00 +1.7999999610119652e+00 -5.0544410510485006e-24 -2.0036439905783197e+00 -8.8423029271134634e-21
1.9000000000000006e+00 -3.6150290787429103e-04 +0.0000000000000000e+00 +1.8999999541469634e+00 -2.5270338054608029e-24 -2.0035836414910788e+00 -4.4208248131226061e-21
2.0000000000000004e+00 -4.0055461613729072e-04 +0.0000000000000000e+00 +1.9999999465201133e+00 -1.3513485687456215e-30 -2.0035232921124386e+00 -2.3640662276135235e-27
