# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 -1.0014664588211310e-06 +0.0000000000000000e+00 +9.9999999993313771e-02 -2.0029295978839606e-05 +0.0000000000000000e+00 +9.9999999979941367e-01
2.0000000000000001e-01 -4.0058525560696459e-06 +0.0000000000000000e+00 +1.9999999994651058e-01 -4.0058392766730884e-05 +0.0000000000000000e+00 +9.9999999919766258e-01
3.0000000000000004e-01 -9.0131383721056335e-06 +0.0000000000000000e+00 +2.9999999981947456e-01 -6.0087290352771837e-05 +0.0000000000000000e+00 +9.9999999819475871e-01
4.0000000000000002e-01 -1.6023303986198866e-05 +0.0000000000000000e+00 +3.9999999957209098e-01 -8.0115988726058208e-05 +0.0000000000000000e+00 +9.9999999679071416e-01
5.0000000000000000e-01 -2.5036329476528575e-05 +0.0000000000000000e+00 +4.9999999916424642e-01 -1.0014448787568346e-04 +0.0000000000000000e+00 +9.9999999498554071e-01
5.9999999999999998e-01 -3.6052194920183231e-05 +0.0000000000000000e+00 +5.9999999855582864e-01 -1.2017278779073880e-04 +0.0000000000000000e+00 +9.9999999277925045e-01
6.9999999999999996e-01 -4.9070880393160300e-05 +0.0000000000000000e+00 +6.9999999770672638e-01 -1.4020088846031310e-04 +0.0000000000000000e+00 +9.9999999017185537e-01
7.9999999999999993e-01 -6.4092365970366041e-05 +0.0000000000000000e+00 +7.9999999657682985e-01 -1.6022878987349303e-04 +0.0000000000000000e+00 +9.9999998716336735e-01
8.9999999999999991e-01 -8.1116631725615247e-05 +0.0000000000000000e+00 +8.9999999512603046e-01 -1.8025649201936295e-04 +0.0000000000000000e+00 +9.9999998375379839e-01
9.9999999999999989e-01 -1.0014365773163103e-04 +0.0000000000000000e+00 +9.9999999331422063e-01 -2.0028399488700494e-04 +0.0000000000000000e+00 +9.9999997994316048e-01
1.0999999999999999e+00 -1.2117341732938031e-04 +0.0000000000000000e+00 +1.0999999911012954e+00 -2.2031109654556519e-04 +0.0000000000000000e+00 +9.9999997573151000e-01
1.2000000000000000e+00 -1.4420585693607815e-04 +0.0000000000000000e+00 +1.1999999884471579e+00 -2.4033759506415201e-04 +0.0000000000000000e+00 +9.9999997111891969e-01
1.3000000000000000e+00 -1.6924091623718091e-04 +0.0000000000000000e+00 +1.2999999853117159e+00 -2.6036349043184439e-04 +0.0000000000000000e+00 +9.9999996610542574e-01
1.4000000000000001e+00 -1.9627853491705329e-04 +0.0000000000000000e+00 +1.3999999816548807e+00 -2.8038878263772482e-04 +0.0000000000000000e+00 +9.9999996069106445e-01
1.5000000000000002e+00 -2.2531865265896817e-04 +0.0000000000000000e+00 +1.4999999774365675e+00 -3.0041347167087469e-04 +0.0000000000000000e+00 +9.9999995487587190e-01
1.6000000000000003e+00 -2.5636120914510654e-04 +0.0000000000000000e+00 +1.5999999726166951e+00 -3.2043755752037424e-04 +0.0000000000000000e+00 +9.9999994865988440e-01
1.7000000000000004e+00 -2.8940614405655729e-04 +0.0000000000000000e+00 +1.6999999671551858e+00 -3.4046104017530261e-04 +0.0000000000000000e+00 +9.9999994204313825e-01
1.8000000000000005e+00 -3.2445339707331725e-04 +0.0000000000000000e+00 +1.7999999610119652e+00 -3.6048391962473800e-04 +0.0000000000000000e+00 +9.9999993502566964e-01
1.9000000000000006e+00 -3.6150290787429103e-04 +0.0000000000000000e+00 +1.8999999541469634e+00 -3.8050619585775739e-04 +0.0000000000000000e+00 +9.9999992760751477e-01
2.0000000000000004e+00 -4.0055461613729072e-04 +0.0000000000000000e+00 +1.9999999465201133e+00 -4.0052786886343673e-04 +0.0000000000000000e+00 +9.9999991978870983e-01
2.1000000000000005e+00 -4.4160845451453985e-04 +0.0000000000000000e+00 +2.0999999380913543e+00 -4.2054872789592840e-04 +0.0000000000000000e+00 +9.9999991156937973e-01
2.2000000000000006e+00 -4.8466432755916474e-04 +0.0000000000000000e+00 +2.1999999288206431e+00 -4.4056856220910893e-04 +0.0000000000000000e+00 +9.9999990294966623e-01
2.3000000000000007e+00 -5.2972213279868909e-04 +0.0000000000000000e+00 +2.2999999186679436e+00 -4.6058737179211379e-04 +0.0000000000000000e+00 +9.9999989392963085e-01
2.4000000000000008e+00 -5.7678176775955423e-04 +0.0000000000000000e+00 +2.3999999075932270e+00 -4.8060515663412185e-04 +0.0000000000000000e+00 +9.9999988450933508e-01
2.5000000000000009e+00 -6.2584312996711970e-04 +0.0000000000000000e+00 +2.4999998955564706e+00 -5.0062191672431780e-04 +0.0000000000000000e+00 +9.9999987468884044e-01
2.6000000000000010e+00 -6.7690611694566378e-04 +0.0000000000000000e+00 +2.5999998825176571e+00 -5.2063765205189242e-04 +0.0000000000000000e+00 +9.9999986446820854e-01
2.7000000000000011e+00 -7.2997062621838404e-04 +0.0000000000000000e+00 +2.6999998684367763e+00 -5.4065236260604217e-04 +0.0000000000000000e+00 +9.9999985384750079e-01
2.8000000000000012e+00 -7.8503655530739807e-04 +0.0000000000000000e+00 +2.7999998532738233e+00 -5.6066604837596949e-04 +0.0000000000000000e+00 +9.9999984282677878e-01
2.9000000000000012e+00 -8.4210380173374403e-04 +0.0000000000000000e+00 +2.8999998369888003e+00 -5.8067870935088256e-04 +0.0000000000000000e+00 +9.9999983140610404e-01
3.0000000000000013e+00 -9.0117226301738120e-04 +0.0000000000000000e+00 +2.9999998195417144e+00 -6.0069034551999561e-04 +0.0000000000000000e+00 +9.9999981958553807e-01
