X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-13.	0.	-800.	8.22823e-13	3.62831e-7	3.40725e-12
-12.	0.	-800.	-6.21821e-13	3.63528e-7	1.41082e-12
-11.	0.	-800.	-2.8298e-12	3.64172e-7	-6.72104e-13
-10.	0.	-800.	-2.00247e-12	3.64763e-7	-1.16624e-12
-9.	0.	-800.	1.67479e-12	3.653e-7	-9.59381e-13
-8.	0.	-800.	3.19107e-12	3.65778e-7	-3.57331e-12
-7.	0.	-800.	1.68839e-12	3.66202e-7	-2.75927e-12
-6.	0.	-800.	-2.26038e-12	3.66567e-7	-6.39039e-13
-5.	0.	-800.	7.46906e-12	3.66881e-7	-2.98721e-12
-4.	0.	-800.	-1.3518e-13	3.67134e-7	-3.08237e-13
-3.	0.	-800.	2.65944e-12	3.67334e-7	2.49104e-12
-2.	0.	-800.	-5.34876e-13	3.67473e-7	4.08499e-12
-1.	0.	-800.	-4.28453e-12	3.67557e-7	3.43718e-13
0.	0.	-800.	-1.71052e-12	3.67585e-7	-3.03676e-12
1.	0.	-800.	2.78633e-12	3.67559e-7	5.69653e-13
2.	0.	-800.	7.01697e-13	3.67473e-7	5.43928e-13
3.	0.	-800.	1.61018e-12	3.67332e-7	-2.6688e-13
4.	0.	-800.	2.0238e-12	3.67135e-7	-3.27647e-12
5.	0.	-800.	-3.91378e-12	3.66876e-7	-1.7337e-12
6.	0.	-800.	7.87637e-13	3.66568e-7	-4.52784e-13
7.	0.	-800.	-4.07512e-12	3.66195e-7	2.48795e-12
8.	0.	-800.	2.77117e-12	3.65779e-7	3.09603e-12
9.	0.	-800.	3.91395e-13	3.65298e-7	-7.85866e-13
10.	0.	-800.	-3.47547e-13	3.64762e-7	-4.96201e-14
11.	0.	-800.	1.2633e-13	3.64173e-7	1.29357e-13
12.	0.	-800.	-6.41599e-12	3.63524e-7	6.49867e-14
13.	0.	-800.	-2.10844e-13	3.62833e-7	7.09394e-13
-13.	0.	-799.5	5.68508e-13	3.66979e-7	-6.17886e-13
-12.	0.	-799.5	-1.33757e-12	3.67689e-7	-1.991e-12
-11.	0.	-799.5	2.70056e-12	3.68344e-7	5.50752e-13
-10.	0.	-799.5	-2.46747e-12	3.68939e-7	3.44723e-12
-9.	0.	-799.5	2.12459e-12	3.69487e-7	1.56634e-13
-8.	0.	-799.5	1.86942e-13	3.69971e-7	-1.86184e-12
-7.	0.	-799.5	5.20175e-14	3.70401e-7	5.43353e-12
-6.	0.	-799.5	3.491e-12	3.70776e-7	3.49955e-12
-5.	0.	-799.5	2.97238e-12	3.71094e-7	-1.88001e-12
-4.	0.	-799.5	-4.84975e-13	3.7135e-7	-6.10708e-13
-3.	0.	-799.5	-3.3918e-12	3.7155e-7	-2.4996e-12
-2.	0.	-799.5	-8.77157e-13	3.71697e-7	9.89168e-14
-1.	0.	-799.5	-2.9451e-13	3.71784e-7	2.82059e-12
0.	0.	-799.5	-5.06659e-12	3.71808e-7	-3.72264e-12
