X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-13.	0.	-800.	-2.91696e-8	3.4177e-7	-1.98777e-7
-12.	0.	-800.	-2.69959e-8	3.42414e-7	-1.99523e-7
-11.	0.	-800.	-2.48074e-8	3.43005e-7	-2.0022e-7
-10.	0.	-800.	-2.25998e-8	3.4355e-7	-2.00851e-7
-9.	0.	-800.	-2.03805e-8	3.44045e-7	-2.01424e-7
-8.	0.	-800.	-1.8146e-8	3.44487e-7	-2.01942e-7
-7.	0.	-800.	-1.59045e-8	3.44875e-7	-2.02398e-7
-6.	0.	-800.	-1.36515e-8	3.45214e-7	-2.02792e-7
-5.	0.	-800.	-1.13907e-8	3.45497e-7	-2.03127e-7
-4.	0.	-800.	-9.1181e-9	3.45735e-7	-2.03404e-7
-3.	0.	-800.	-6.8441e-9	3.45918e-7	-2.03619e-7
-2.	0.	-800.	-4.56151e-9	3.46047e-7	-2.03774e-7
-1.	0.	-800.	-2.28405e-9	3.46125e-7	-2.03862e-7
0.	0.	-800.	-8.95523e-14	3.46151e-7	-2.03897e-7
1.	0.	-800.	2.27934e-9	3.46123e-7	-2.03865e-7
2.	0.	-800.	4.56101e-9	3.46044e-7	-2.03775e-7
3.	0.	-800.	6.84719e-9	3.45918e-7	-2.03614e-7
4.	0.	-800.	9.1211e-9	3.45734e-7	-2.03405e-7
5.	0.	-800.	1.1391e-8	3.45498e-7	-2.03129e-7
6.	0.	-800.	1.36506e-8	3.45213e-7	-2.02797e-7
7.	0.	-800.	1.59079e-8	3.44876e-7	-2.02398e-7
8.	0.	-800.	1.8152e-8	3.44485e-7	-2.01938e-7
9.	0.	-800.	2.0382e-8	3.44045e-7	-2.01427e-7
10.	0.	-800.	2.26016e-8	3.43551e-7	-2.00849e-7
11.	0.	-800.	2.48049e-8	3.43007e-7	-2.00217e-7
12.	0.	-800.	2.69953e-8	3.42415e-7	-1.99528e-7
13.	0.	-800.	2.91689e-8	3.41771e-7	-1.98774e-7
-13.	0.	-799.5	-2.95644e-8	3.45628e-7	-2.00997e-7
-12.	0.	-799.5	-2.73566e-8	3.4629e-7	-2.01757e-7
-11.	0.	-799.5	-2.51399e-8	3.46892e-7	-2.02462e-7
-10.	0.	-799.5	-2.29082e-8	3.47442e-7	-2.03106e-7
-9.	0.	-799.5	-2.0651e-8	3.47944e-7	-2.03691e-7
-8.	0.	-799.5	-1.839e-8	3.48391e-7	-2.04214e-7
-7.	0.	-799.5	-1.61213e-8	3.48784e-7	-2.04673e-7
-6.	0.	-799.5	-1.38347e-8	3.49129e-7	-2.05078e-7
-5.	0.	-799.5	-1.1542e-8	3.4942e-7	-2.05416e-7
-4.	0.	-799.5	-9.23954e-9	3.4966e-7	-2.05698e-7
-3.	0.	-799.5	-6.93671e-9	3.49845e-7	-2.05914e-7
-2.	0.	-799.5	-4.62247e-9	3.49979e-7	-2.06074e-7
-1.	0.	-799.5	-2.31356e-9	3.50055e-7	-2.06166e-7
0.	0.	-799.5	-1.18555e-12	3.50082e-7	-2.06194e-7
1.	0.	-799.5	2.31265e-9	3.50055e-7	-2.06165e-7
2.	0.	-799.5	4.62687e-9	3.49977e-7	-2.0607e-7
3.	0.	-799.5	6.93673e-9	3.49846e-7	-2.05911e-7
4.	0.	-799.5	9.24381e-9	3.49661e-7	-2.05695e-7
5.	0.	-799.5	1.15399e-8	3.49419e-7	-2.05421e-7
6.	0.	-799.5	1.38333e-8	3.49128e-7	-2.05075e-7
7.	0.	-799.5	1.61163e-8	3.48785e-7	-2.04672e-7
8.	0.	-799.5	1.83938e-8	3.48391e-7	-2.04211e-7
9.	0.	-799.5	2.06556e-8	3.47943e-7	-2.03691e-7
10.	0.	-799.5	2.29004e-8	3.47439e-7	-2.03106e-7
11.	0.	-799.5	2.51378e-8	3.4689e-7	-2.02461e-7
12.	0.	-799.5	2.73606e-8	3.4629e-7	-2.01759e-7
13.	0.	-799.5	2.9562e-8	3.45634e-7	-2.00999e-7
-13.	0.	-799.	-2.99566e-8	3.4955e-7	-2.03245e-7
-12.	0.	-799.	-2.77284e-8	3.50214e-7	-2.04022e-7
-11.	0.	-799.	-2.54764e-8	3.50826e-7	-2.04736e-7
-10.	0.	-799.	-2.32079e-8	3.5139e-7	-2.05391e-7
-9.	0.	-799.	-2.09352e-8	3.51895e-7	-2.05981e-7
-8.	0.	-799.	-1.86341e-8	3.52352e-7	-2.06513e-7
-7.	0.	-799.	-1.63377e-8	3.52752e-7	-2.0698e-7
-6.	0.	-799.	-1.40208e-8	3.53101e-7	-2.07395e-7
-5.	0.	-799.	-1.17003e-8	3.53396e-7	-2.0774e-7
-4.	0.	-799.	-9.36918e-9	3.53636e-7	-2.08019e-7
-3.	0.	-799.	-7.02859e-9	3.53828e-7	-2.08243e-7
-2.	0.	-799.	-4.68133e-9	3.53969e-7	-2.08403e-7
-1.	0.	-799.	-2.34284e-9	3.54044e-7	-2.08496e-7
0.	0.	-799.	-1.2302e-12	3.5407e-7	-2.08527e-7
1.	0.	-799.	2.34819e-9	3.54045e-7	-2.08499e-7
2.	0.	-799.	4.6914e-9	3.53961e-7	-2.08398e-7
3.	0.	-799.	7.03068e-9	3.53827e-7	-2.08243e-7
4.	0.	-799.	9.36589e-9	3.53638e-7	-2.0802e-7
5.	0.	-799.	1.17033e-8	3.53399e-7	-2.07739e-7
6.	0.	-799.	1.40181e-8	3.531e-7	-2.0739e-7
7.	0.	-799.	1.63334e-8	3.52752e-7	-2.06985e-7
8.	0.	-799.	1.86405e-8	3.52349e-7	-2.06512e-7
9.	0.	-799.	2.09382e-8	3.51898e-7	-2.05979e-7
10.	0.	-799.	2.32093e-8	3.51385e-7	-2.05389e-7
11.	0.	-799.	2.54785e-8	3.50827e-7	-2.04732e-7
12.	0.	-799.	2.77279e-8	3.50213e-7	-2.04021e-7
13.	0.	-799.	2.99583e-8	3.49547e-7	-2.03247e-7
-13.	0.	-798.5	-3.03655e-8	3.53518e-7	-2.05529e-7
-12.	0.	-798.5	-2.81021e-8	3.54192e-7	-2.06313e-7
-11.	0.	-798.5	-2.5825e-8	3.54812e-7	-2.07034e-7
-10.	0.	-798.5	-2.35277e-8	3.55381e-7	-2.07705e-7
-9.	0.	-798.5	-2.12167e-8	3.559e-7	-2.08305e-7
-8.	0.	-798.5	-1.88935e-8	3.56361e-7	-2.08848e-7
-7.	0.	-798.5	-1.65579e-8	3.56771e-7	-2.09328e-7
-6.	0.	-798.5	-1.42102e-8	3.57126e-7	-2.09737e-7
-5.	0.	-798.5	-1.1861e-8	3.57425e-7	-2.10093e-7
-4.	0.	-798.5	-9.49227e-9	3.57675e-7	-2.1038e-7
-3.	0.	-798.5	-7.13028e-9	3.57863e-7	-2.10603e-7
-2.	0.	-798.5	-4.75343e-9	3.57999e-7	-2.10761e-7
-1.	0.	-798.5	-2.37784e-9	3.58083e-7	-2.10861e-7
0.	0.	-798.5	-4.12552e-12	3.58108e-7	-2.10893e-7
1.	0.	-798.5	2.38131e-9	3.58085e-7	-2.10859e-7
2.	0.	-798.5	4.75291e-9	3.57998e-7	-2.10764e-7
3.	0.	-798.5	7.12705e-9	3.57865e-7	-2.10607e-7
4.	0.	-798.5	9.49368e-9	3.57669e-7	-2.10378e-7
5.	0.	-798.5	1.18562e-8	3.57423e-7	-2.10092e-7
6.	0.	-798.5	1.42145e-8	3.57125e-7	-2.0974e-7
7.	0.	-798.5	1.65564e-8	3.56768e-7	-2.09324e-7
8.	0.	-798.5	1.88943e-8	3.56362e-7	-2.08844e-7
9.	0.	-798.5	2.12205e-8	3.55901e-7	-2.08304e-7
10.	0.	-798.5	2.35291e-8	3.55383e-7	-2.07701e-7
11.	0.	-798.5	2.58227e-8	3.54815e-7	-2.07039e-7
12.	0.	-798.5	2.81023e-8	3.54191e-7	-2.06314e-7
13.	0.	-798.5	3.03647e-8	3.53519e-7	-2.05528e-7
-13.	0.	-798.	-3.07756e-8	3.57537e-7	-2.07838e-7
-12.	0.	-798.	-2.84812e-8	3.58226e-7	-2.08639e-7
-11.	0.	-798.	-2.6176e-8	3.58859e-7	-2.09372e-7
-10.	0.	-798.	-2.3847e-8	3.59435e-7	-2.10048e-7
-9.	0.	-798.	-2.15045e-8	3.59962e-7	-2.1066e-7
-8.	0.	-798.	-1.9153e-8	3.60426e-7	-2.11211e-7
-7.	0.	-798.	-1.6783e-8	3.60847e-7	-2.11693e-7
-6.	0.	-798.	-1.44084e-8	3.61203e-7	-2.12116e-7
-5.	0.	-798.	-1.20178e-8	3.61512e-7	-2.12475e-7
-4.	0.	-798.	-9.62906e-9	3.61759e-7	-2.12766e-7
-3.	0.	-798.	-7.22466e-9	3.61955e-7	-2.12995e-7
-2.	0.	-798.	-4.81986e-9	3.62095e-7	-2.13158e-7
-1.	0.	-798.	-2.41309e-9	3.62175e-7	-2.13255e-7
0.	0.	-798.	-1.20483e-12	3.62204e-7	-2.13289e-7
1.	0.	-798.	2.41094e-9	3.6218e-7	-2.13258e-7
2.	0.	-798.	4.81923e-9	3.62094e-7	-2.13158e-7
3.	0.	-798.	7.22617e-9	3.61958e-7	-2.12994e-7
4.	0.	-798.	9.62453e-9	3.6176e-7	-2.12768e-7
5.	0.	-798.	1.20175e-8	3.6151e-7	-2.1247e-7
6.	0.	-798.	1.44091e-8	3.61204e-7	-2.12114e-7
7.	0.	-798.	1.67859e-8	3.6085e-7	-2.11693e-7
8.	0.	-798.	1.91481e-8	3.6043e-7	-2.11209e-7
9.	0.	-798.	2.15093e-8	3.59962e-7	-2.1066e-7
10.	0.	-798.	2.38466e-8	3.59437e-7	-2.10049e-7
11.	0.	-798.	2.61724e-8	3.58857e-7	-2.09372e-7
