Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12868E+00 0.1158E-04
15 0.31800E+00 0.2671E-04
25 0.51423E+00 0.3085E-04
35 0.71387E+00 0.5854E-04
45 0.91562E+00 0.8607E-04
55 0.11186E+01 0.7830E-04
65 0.13223E+01 0.1031E-03
75 0.15261E+01 0.9157E-04
85 0.17303E+01 0.1350E-03
95 0.19340E+01 0.1238E-03
105 0.21373E+01 0.1966E-03
115 0.23399E+01 0.1755E-03
125 0.25417E+01 0.1703E-03
135 0.27430E+01 0.2277E-03
145 0.29431E+01 0.2619E-03
155 0.31426E+01 0.3457E-03
165 0.33403E+01 0.1637E-03
175 0.35367E+01 0.2582E-03
185 0.37311E+01 0.2761E-03
195 0.39229E+01 0.2315E-03
205 0.41112E+01 0.3125E-03
215 0.42932E+01 0.4250E-03
225 0.44652E+01 0.3394E-03
