Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
-12 -0.51533 0
-11.5 -0.49381 0
-11 -0.47256 0
-10.5 -0.45124 0
-9.9 -0.42554 0
-9.4 -0.40413 0
-9 -0.38704 0
-8.5 -0.3657 0
-8 -0.34421 0
-7.5 -0.32282 0
-6.9 -0.29717 0
-6.4 -0.27573 0
-6 -0.25866 0
-5.5 -0.23713 0
-5 -0.21582 0
-4.5 -0.19418 0
-4 -0.17311 0
-3.4 -0.14757 0
-3 -0.1308 0
-2.5 -0.10977 0
-2 -0.08902 0
-1.5 -0.068196 0
-1 -0.047831 0
-0.5 -0.028163 0
0.5 0.028163 0
1 0.047831 0
1.5 0.068196 0
2 0.08902 0
2.5 0.10977 0
3 0.1308 0
3.4 0.14757 0
4 0.17311 0
4.5 0.19418 0
5 0.21582 0
5.5 0.23713 0
6 0.25866 0
6.4 0.27573 0
6.9 0.29717 0
7.5 0.32282 0
8 0.34421 0
8.5 0.3657 0
9 0.38704 0
9.4 0.40413 0
9.9 0.42554 0
10.5 0.45124 0
11 0.47256 0
11.5 0.49381 0
12 0.51533 0
