Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.12987E+00 0.1299E-04
15 -0.32014E+00 0.1985E-04
25 -0.51722E+00 0.1293E-04
35 -0.71806E+00 0.2657E-04
45 -0.92106E+00 0.1658E-04
55 -0.11254E+01 0.7765E-04
65 -0.13303E+01 0.6785E-04
75 -0.15355E+01 0.4914E-04
85 -0.17409E+01 0.3308E-04
95 -0.19461E+01 0.4087E-04
105 -0.21507E+01 0.4086E-04
115 -0.23551E+01 0.2237E-04
125 -0.25584E+01 0.6652E-04
135 -0.27610E+01 0.8283E-04
145 -0.29629E+01 0.1037E-03
155 -0.31635E+01 0.7909E-04
165 -0.33622E+01 0.1916E-03
175 -0.35597E+01 0.3560E-03
185 -0.37552E+01 0.1690E-03
195 -0.39478E+01 0.4343E-03
205 -0.41383E+01 0.1573E-03
215 -0.43210E+01 0.1728E-03
225 -0.44935E+01 0.2471E-03
