Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11219E+00 0.5721E-04
9 -0.19176E+00 0.5945E-04
13 -0.27226E+00 0.2151E-04
17 -0.35321E+00 0.2720E-04
21 -0.43457E+00 0.6953E-04
25 -0.51618E+00 0.3252E-04
30 -0.61864E+00 0.4516E-04
35 -0.72123E+00 0.7934E-04
40 -0.82406E+00 0.7334E-04
45 -0.92701E+00 0.6304E-05
55 -0.11332E+01 0.3853E-04
65 -0.13392E+01 0.4285E-04
75 -0.15451E+01 0.9116E-04
85 -0.17507E+01 0.9979E-04
95 -0.19558E+01 0.4889E-04
105 -0.21605E+01 0.9506E-04
115 -0.23650E+01 0.2199E-04
125 -0.25689E+01 0.1567E-03
135 -0.27723E+01 0.9980E-04
145 -0.29757E+01 0.1369E-03
155 -0.31785E+01 0.9218E-04
165 -0.33805E+01 0.8113E-04
175 -0.35820E+01 0.1361E-03
185 -0.37822E+01 0.1626E-03
195 -0.39812E+01 0.1712E-03
205 -0.41775E+01 0.1170E-03
215 -0.43688E+01 0.1748E-03
225 -0.45505E+01 0.8646E-04
