Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.13914E+00 0.9322E-05
9 0.21159E+00 0.1989E-04
13 0.28639E+00 0.1146E-04
17 0.36238E+00 0.2718E-04
21 0.43974E+00 0.1979E-04
25 0.51786E+00 0.1709E-04
30 0.61689E+00 0.9870E-05
35 0.71694E+00 0.8603E-05
40 0.81775E+00 0.3598E-04
45 0.91926E+00 0.3217E-05
55 0.11234E+01 0.1797E-04
65 0.13284E+01 0.2657E-04
75 0.15337E+01 0.2301E-04
85 0.17390E+01 0.2087E-04
95 0.19441E+01 0.4666E-04
105 0.21487E+01 0.3653E-04
115 0.23526E+01 0.3058E-04
125 0.25552E+01 0.3577E-04
135 0.27567E+01 0.3308E-04
145 0.29562E+01 0.1685E-03
155 0.31538E+01 0.5677E-04
165 0.33489E+01 0.4354E-04
175 0.35408E+01 0.6728E-04
185 0.37283E+01 0.2274E-04
195 0.39096E+01 0.8210E-04
205 0.40824E+01 0.8165E-05
215 0.42420E+01 0.3903E-04
225 0.43875E+01 0.1887E-03
