Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12591E+00 0.9191E-05
9 0.19871E+00 0.1153E-04
13 0.27423E+00 0.8501E-05
17 0.35168E+00 0.1512E-04
21 0.43040E+00 0.7317E-05
25 0.50963E+00 0.6625E-05
30 0.60954E+00 0.3109E-04
35 0.71013E+00 0.1562E-04
40 0.81121E+00 0.3164E-04
45 0.91270E+00 0.1369E-04
55 0.11163E+01 0.1674E-04
65 0.13202E+01 0.3168E-04
75 0.15238E+01 0.3657E-04
85 0.17275E+01 0.3110E-04
95 0.19306E+01 0.5019E-04
105 0.21329E+01 0.3413E-04
115 0.23348E+01 0.3502E-04
125 0.25357E+01 0.1040E-03
135 0.27359E+01 0.7660E-04
145 0.29352E+01 0.1086E-03
155 0.31335E+01 0.7520E-04
