Corrente Campo_Integrado Erro_Campo_Integrado
Ampere T T
-12.0 -0.51525E+00 0.2628E-04
-11.5 -0.49370E+00 0.1629E-04
-11.0 -0.47243E+00 0.1134E-04
-10.5 -0.45108E+00 0.1895E-04
-9.9 -0.42532E+00 0.1616E-04
-9.4 -0.40401E+00 0.5656E-04
-9.0 -0.38692E+00 0.2051E-04
-8.5 -0.36554E+00 0.1937E-04
-8.0 -0.34412E+00 0.1549E-04
-7.5 -0.32272E+00 0.1388E-04
-6.9 -0.29713E+00 0.1991E-04
-6.4 -0.27575E+00 0.3585E-04
-6.0 -0.25865E+00 0.4138E-04
-5.5 -0.23711E+00 0.3557E-04
-5.0 -0.21583E+00 0.3669E-05
-4.5 -0.19397E+00 0.1726E-03
-4.0 -0.17302E+00 0.2249E-03
-3.4 -0.14750E+00 0.1091E-04
-3.0 -0.13076E+00 0.2092E-04
-2.5 -0.10970E+00 0.2194E-04
-2.0 -0.88915E-01 0.8358E-04
-1.5 -0.68112E-01 0.1090E-04
-1.0 -0.47749E-01 0.8595E-05
-0.5 -0.27938E-01 0.2012E-04
0.5 0.27938E-01 0.2012E-04
1.0 0.47749E-01 0.8595E-05
1.5 0.68112E-01 0.1090E-04
2.0 0.88915E-01 0.8358E-04
2.5 0.10970E+00 0.2194E-04
3.0 0.13076E+00 0.2092E-04
3.4 0.14750E+00 0.1091E-04
4.0 0.17302E+00 0.2249E-03
4.5 0.19397E+00 0.1726E-03
5.0 0.21583E+00 0.3669E-05
5.5 0.23711E+00 0.3557E-04
6.0 0.25865E+00 0.4138E-04
6.4 0.27575E+00 0.3585E-04
6.9 0.29713E+00 0.1991E-04
7.5 0.32272E+00 0.1388E-04
8.0 0.34412E+00 0.1549E-04
8.5 0.36554E+00 0.1937E-04
9.0 0.38692E+00 0.2051E-04
9.4 0.40401E+00 0.5656E-04
9.9 0.42532E+00 0.1616E-04
10.5 0.45108E+00 0.1895E-04
11.0 0.47243E+00 0.1134E-04
11.5 0.49370E+00 0.1629E-04
12.0 0.51525E+00 0.2628E-04

