Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18309E+01 0 
3 -0.21915E+01 0 
4 -0.25591E+01 0 
5 -0.29444E+01 0 
10 -0.48738E+01 0 
15 -0.68626E+01 0 
20 -0.89092E+01 0 
25 -0.10987E+02 0 
30 -0.13099E+02 0 
40 -0.17373E+02 0 
50 -0.21683E+02 0 
60 -0.26006E+02 0 
70 -0.30318E+02 0 
80 -0.34619E+02 0
90 -0.38894E+02 0
100 -0.43135E+02 0
110 -0.47339E+02 0
120 -0.51490E+02 0
130 -0.55575E+02 0
140 -0.59566E+02 0
150 -0.63392E+02 0
160 -0.66915E+02 0
170 -0.70021E+02 0
180 -0.72695E+02 0
190 -0.75037E+02 0
200 -0.77148E+02 0
210 -0.79062E+02 0
220 -0.80814E+02 0

