Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18188E+01 0 
3 -0.21838E+01 0 
4 -0.25513E+01 0 
5 -0.29491E+01 0 
10 -0.48902E+01 0 
15 -0.68836E+01 0 
20 -0.89202E+01 0 
25 -0.10987E+02 0 
30 -0.13086E+02 0 
40 -0.17334E+02 0 
50 -0.21632E+02 0 
60 -0.25948E+02 0 
70 -0.30264E+02 0 
80 -0.34568E+02 0
90 -0.38853E+02 0
100 -0.43106E+02 0
110 -0.47324E+02 0
120 -0.51488E+02 0
130 -0.55580E+02 0
140 -0.59595E+02 0
150 -0.63451E+02 0
160 -0.67054E+02 0
170 -0.70270E+02 0
180 -0.73046E+02 0
190 -0.75455E+02 0
200 -0.77605E+02 0
210 -0.79543E+02 0
220 -0.81310E+02 0

