Corrente Derivada_Integrada Erro_Derivada_Integrada
Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.18438E+01 0
 3.000  0.22122E+01 0
 4.000  0.25823E+01 0
 5.000  0.29725E+01 0
 10.000 0.49182E+01 0
 15.000 0.69070E+01 0
 20.000 0.89435E+01 0
 25.000 0.11011E+02 0
 30.000 0.13112E+02 0
 40.000 0.17360E+02 0
 50.000 0.21661E+02 0
 60.000 0.25985E+02 0
 70.000 0.30303E+02 0
 80.000 0.34612E+02 0
 90.000 0.38900E+02 0
100.000 0.43155E+02 0
110.000 0.47375E+02 0
120.000 0.51540E+02 0
130.000 0.55643E+02 0
140.000 0.59653E+02 0
150.000 0.63519E+02 0
160.000 0.67137E+02 0
170.000 0.70381E+02 0
180.000 0.73184E+02 0
190.000 0.75620E+02 0
200.000 0.77785E+02 0
210.000 0.79737E+02 0
220.000 0.81512E+02 0

