Corrente Derivada_Integrada Erro_Derivada_Integrada 
Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.18252E+01 0
 3.000  0.21952E+01 0
 4.000  0.25703E+01 0
 5.000  0.29598E+01 0
 10.000 0.49054E+01 0
 15.000 0.68937E+01 0
 20.000 0.89315E+01 0
 25.000 0.10999E+02 0
 30.000 0.13096E+02 0
 40.000 0.17345E+02 0
 50.000 0.21648E+02 0
 60.000 0.25971E+02 0
 70.000 0.30287E+02 0
 80.000 0.34594E+02 0
 90.000 0.38879E+02 0
100.000 0.43136E+02 0
110.000 0.47349E+02 0
120.000 0.51517E+02 0
130.000 0.55623E+02 0
140.000 0.59629E+02 0
150.000 0.63491E+02 0
160.000 0.67103E+02 0
170.000 0.70338E+02 0
180.000 0.73126E+02 0
190.000 0.75548E+02 0
200.000 0.77710E+02 0
210.000 0.79659E+02 0
220.000 0.81428E+02 0
                   
                   
