Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11238E+00 0.2023E-04
9 -0.19196E+00 0.1920E-04
13 -0.27238E+00 0.1035E-04
17 -0.35331E+00 0.1378E-04
21 -0.43461E+00 0.3738E-04
25 -0.51620E+00 0.2529E-04
30 -0.61860E+00 0.2784E-04
35 -0.72126E+00 0.2597E-04
40 -0.82408E+00 0.4203E-04
45 -0.92694E+00 0.2966E-04
55 -0.11331E+01 0.3513E-04
65 -0.13389E+01 0.8837E-04
75 -0.15446E+01 0.8495E-04
85 -0.17500E+01 0.7000E-04
95 -0.19550E+01 0.2932E-04
105 -0.21597E+01 0.1253E-04
115 -0.23643E+01 0.8984E-04
125 -0.25680E+01 0.4622E-04
135 -0.27713E+01 0.8868E-04
145 -0.29746E+01 0.5949E-04
155 -0.31775E+01 0.2669E-04
165 -0.33798E+01 0.6422E-04
175 -0.35813E+01 0.9669E-04
185 -0.37818E+01 0.1551E-03
195 -0.39808E+01 0.7563E-04
205 -0.41776E+01 0.8355E-04
215 -0.43697E+01 0.7865E-04
225 -0.45523E+01 0.1001E-03
