Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 -0.11240E+00 0.7868E-05
9 -0.19210E+00 0.4995E-04
13 -0.27268E+00 0.3000E-04
17 -0.35367E+00 0.1945E-04
21 -0.43507E+00 0.1001E-04
25 -0.51672E+00 0.3720E-04
30 -0.61915E+00 0.2910E-04
35 -0.72192E+00 0.4692E-04
40 -0.82480E+00 0.5196E-04
45 -0.92776E+00 0.2134E-04
55 -0.11339E+01 0.8731E-05
65 -0.13401E+01 0.5092E-04
75 -0.15461E+01 0.6184E-04
85 -0.17519E+01 0.1034E-03
95 -0.19569E+01 0.4109E-04
105 -0.21617E+01 0.8431E-04
115 -0.23665E+01 0.4733E-04
125 -0.25705E+01 0.4627E-04
135 -0.27741E+01 0.4439E-04
145 -0.29776E+01 0.5955E-04
155 -0.31805E+01 0.6361E-04
165 -0.33830E+01 0.5413E-04
175 -0.35848E+01 0.1434E-03
185 -0.37850E+01 0.7948E-04
195 -0.39842E+01 0.5578E-04
205 -0.41808E+01 0.1714E-04
215 -0.43727E+01 0.6559E-04
225 -0.45546E+01 0.7287E-04
