Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12711E+00 0.4703E-05
15 0.31956E+00 0.3164E-04
25 0.51838E+00 0.4147E-04
35 0.72032E+00 0.2737E-04
45 0.92410E+00 0.3881E-04
55 0.11292E+01 0.5082E-04
65 0.13348E+01 0.3604E-04
75 0.15408E+01 0.6471E-04
85 0.17466E+01 0.5240E-04
95 0.19521E+01 0.9760E-04
105 0.21572E+01 0.7550E-04
115 0.23617E+01 0.7794E-04
125 0.25651E+01 0.8465E-04
135 0.27678E+01 0.3045E-04
145 0.29697E+01 0.7721E-04
155 0.31703E+01 0.1078E-03
165 0.33700E+01 0.9099E-04
175 0.35679E+01 0.1641E-03
185 0.37638E+01 0.1129E-03
195 0.39571E+01 0.1622E-03
205 0.41466E+01 0.1285E-03
215 0.43303E+01 0.1169E-03
225 0.45056E+01 0.6308E-04
