Corrente Gradiente_Integrado Erro_Gradiente_Integrado
Ampere T T
0 0 0.1E-03
5 0.12234E+00 0.8564E-05
9 0.19853E+00 0.5956E-04
13 0.27623E+00 0.5525E-04
17 0.35501E+00 0.5325E-04
21 0.43511E+00 0.8702E-05
25 0.51572E+00 0.1341E-04
30 0.61710E+00 0.3332E-04
35 0.71905E+00 0.8629E-05
40 0.82126E+00 0.3367E-04
45 0.92385E+00 0.5358E-04
55 0.11294E+01 0.2146E-04
65 0.13352E+01 0.5207E-04
75 0.15409E+01 0.4777E-05
85 0.17461E+01 0.4016E-04
95 0.19506E+01 0.4096E-04
105 0.21545E+01 0.1896E-04
115 0.23578E+01 0.1698E-04
125 0.25601E+01 0.1613E-04
135 0.27615E+01 0.3314E-04
145 0.29623E+01 0.2666E-05
155 0.31617E+01 0.6323E-04
