Corrente Campo_Integrado Erro_Campo_Integrado
Ampere T T
-12.0 -0.51540E+00 0.5669E-04
-11.5 -0.49392E+00 0.3902E-04
-11.0 -0.47268E+00 0.6145E-04
-10.5 -0.45140E+00 0.1174E-04
-9.9 -0.42577E+00 0.2895E-04
-9.4 -0.40425E+00 0.4447E-04
-9.0 -0.38716E+00 0.4259E-04
-8.5 -0.36586E+00 0.4390E-04
-8.0 -0.34430E+00 0.3236E-04
-7.5 -0.32292E+00 0.4521E-04
-6.9 -0.29721E+00 0.4161E-04
-6.4 -0.27571E+00 0.1709E-04
-6.0 -0.25867E+00 0.3363E-04
-5.5 -0.23715E+00 0.1494E-04
-5.0 -0.21581E+00 0.1230E-03
-4.5 -0.19439E+00 0.3110E-04
-4.0 -0.17320E+00 0.5542E-04
-3.4 -0.14764E+00 0.1476E-04
-3.0 -0.13084E+00 0.4187E-04
-2.5 -0.10984E+00 0.2307E-04
-2.0 -0.89124E-01 0.8556E-04
-1.5 -0.68281E-01 0.1912E-04
-1.0 -0.47913E-01 0.2875E-04
-0.5 -0.28388E-01 0.2668E-04
0.5 0.28388E-01 0.2668E-04
1.0 0.47913E-01 0.2875E-04
1.5 0.68281E-01 0.1912E-04
2.0 0.89124E-01 0.8556E-04
2.5 0.10984E+00 0.2307E-04
3.0 0.13084E+00 0.4187E-04
3.4 0.14764E+00 0.1476E-04
4.0 0.17320E+00 0.5542E-04
4.5 0.19439E+00 0.3110E-04
5.0 0.21581E+00 0.1230E-03
5.5 0.23715E+00 0.1494E-04
6.0 0.25867E+00 0.3363E-04
6.4 0.27571E+00 0.1709E-04
6.9 0.29721E+00 0.4161E-04
7.5 0.32292E+00 0.4521E-04
8.0 0.34430E+00 0.3236E-04
8.5 0.36586E+00 0.4390E-04
9.0 0.38716E+00 0.4259E-04
9.4 0.40425E+00 0.4447E-04
9.9 0.42577E+00 0.2895E-04
10.5 0.45140E+00 0.1174E-04
11.0 0.47268E+00 0.6145E-04
11.5 0.49392E+00 0.3902E-04
12.0 0.51540E+00 0.5669E-04

