Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18421E+01 0 
3 -0.22086E+01 0 
4 -0.25774E+01 0 
5 -0.29720E+01 0 
10 -0.49169E+01 0 
15 -0.69067E+01 0 
20 -0.89454E+01 0 
25 -0.11016E+02 0 
30 -0.13115E+02 0 
40 -0.17374E+02 0 
50 -0.21679E+02 0 
60 -0.26008E+02 0 
70 -0.30327E+02 0 
80 -0.34645E+02 0
90 -0.38933E+02 0
100 -0.43194E+02 0
110 -0.47419E+02 0
120 -0.51590E+02 0
130 -0.55704E+02 0
140 -0.59719E+02 0
150 -0.63599E+02 0
160 -0.67229E+02 0
170 -0.70489E+02 0
180 -0.73305E+02 0
190 -0.75743E+02 0
200 -0.77914E+02 0
210 -0.79872E+02 0
220 -0.81665E+02 0

