Corrente Derivada_Campo_Integrada Erro_Derivada_Campo_Integrada
Ampere T/m T/m
0 -0.00000E+01 0
2 -0.18291E+01 0 
3 -0.21944E+01 0 
4 -0.25658E+01 0 
5 -0.29596E+01 0 
10 -0.48999E+01 0 
15 -0.68914E+01 0 
20 -0.89312E+01 0 
25 -0.10997E+02 0 
30 -0.13096E+02 0 
40 -0.17351E+02 0 
50 -0.21654E+02 0 
60 -0.25974E+02 0 
70 -0.30300E+02 0 
80 -0.34608E+02 0
90 -0.38896E+02 0
100 -0.43158E+02 0
110 -0.47381E+02 0
120 -0.51567E+02 0
130 -0.55671E+02 0
140 -0.59679E+02 0
150 -0.63559E+02 0
160 -0.67175E+02 0
170 -0.70429E+02 0
180 -0.73236E+02 0
190 -0.75668E+02 0
200 -0.77842E+02 0
210 -0.79793E+02 0
220 -0.81571E+02 0

