Corrente Derivada_Integrada Erro_Derivada_Integrada
Ampere T/m T/m
 0.000  0.00000E+01 0
 2.000  0.18404E+01 0
 3.000  0.22082E+01 0
 4.000  0.25774E+01 0
 5.000  0.29710E+01 0
 10.000 0.49108E+01 0
 15.000 0.69031E+01 0
 20.000 0.89383E+01 0
 25.000 0.11005E+02 0
 30.000 0.13100E+02 0
 40.000 0.17355E+02 0
 50.000 0.21655E+02 0
 60.000 0.25980E+02 0
 70.000 0.30297E+02 0
 80.000 0.34604E+02 0
 90.000 0.38885E+02 0
100.000 0.43141E+02 0
110.000 0.47354E+02 0
120.000 0.51525E+02 0
130.000 0.55629E+02 0
140.000 0.59639E+02 0
150.000 0.63507E+02 0
160.000 0.67125E+02 0
170.000 0.70373E+02 0
180.000 0.73178E+02 0
190.000 0.75602E+02 0
200.000 0.77762E+02 0
210.000 0.79710E+02 0
220.000 0.81480E+02 0

