DATA	HORA	AMP01BH	AMP02AH	AMP02BH	AMP03AH	AMP03CH	AMP03BH	AMP04AH	AMP04BH	AMP05AH	AMP05BH	AMP06AH	AMP06BH	AMP07AH	AMP07BH	AMP08AH	AMP08BH	AMP09AH	AMP09BH	AMP10AH	AMP10BH	AMU11AH	AMU11BH	AMP12AH	AMP12BH	AMP01AH	AMP01BV	AMP02AV	AMP02BV	AMP03AV	AMP03CV	AMP03BV	AMP04AV	AMP04BV	AMP05AV	AMP05BV	AMP06AV	AMP06BV	AMP07AV	AMP07BV	AMP08AV	AMP08BV	AMP09AV	AMP09BV	AMP10AV	AMP10BV	AMU11AV	AMU11BV	AMP12AV	AMP12BV	AMP01AV	
06/03/2010 07:34:13	-0.893619	0.013409	-0.983757	-0.468184	-1.170044	NaN	0.391912	-0.861073	-1.609564	-0.487480	0.472609	-0.525370	-0.527272	-0.279412	-0.392372	0.272404	-0.159979	-0.054126	-0.286832	-0.505186	0.359983	0.773156	-0.616327	-0.950442	-0.526329	-0.411157	0.007292	0.304302	0.434620	2.174665	NaN	0.437303	-0.358114	0.925805	0.855771	1.152012	-0.883926	0.029033	0.337663	0.737838	-0.026006	0.303299	0.581403	0.657622	0.496403	0.984154	1.560031	0.817779	0.437171	0.338423	
13/03/2010 06:31:27	-0.888908	-0.619671	-0.953185	-0.583990	-1.158961	NaN	0.415761	-0.845610	-1.605657	-0.483977	0.510284	-0.525309	-0.572805	-0.419409	-0.394994	0.275569	-0.139754	0.004921	-0.281224	-0.514845	0.373706	0.827767	-0.667263	-0.973521	-0.507645	-0.412767	0.439941	0.269892	0.533723	2.149663	NaN	0.447131	-0.354344	0.934742	0.850139	1.182522	-0.874707	0.038395	0.342350	0.751907	-0.027773	0.302919	0.583023	0.656227	0.506951	0.982143	1.570339	0.918278	0.434739	0.336171	
20/03/2010 09:27:15	-0.897636	0.012500	-0.949413	-0.582829	-1.134321	-2.175402	0.439736	-0.807314	-1.591103	-0.454124	0.470293	-0.529132	-0.603758	-0.246455	-0.416598	0.199151	-0.183162	-0.078072	-0.264658	-0.516820	0.426438	0.786114	-0.677242	-0.997025	-0.551325	-0.416391	-0.005151	0.298843	0.504865	2.152087	0.224791	0.425335	-0.348559	0.927092	0.819044	1.182511	-0.912079	0.008521	0.295794	0.776001	-0.005651	0.235953	0.566155	0.657567	0.458982	0.985894	1.510814	0.884439	0.463785	0.357936	
27/03/2010 07:04:21	-0.919311	-0.008032	-0.969577	-0.575789	-1.134835	-2.179725	0.480916	-0.798289	-1.582729	-0.492286	0.453253	-0.559211	-0.419957	-0.194515	-0.415696	0.242803	-0.154330	-0.043547	-0.300605	-0.529990	0.379035	0.849386	-0.687405	-1.008749	-0.572454	-0.408331	0.018727	0.263288	0.497451	2.153932	0.255865	0.423777	-0.333676	0.935581	0.829329	1.168572	-0.900718	-0.006002	0.352808	0.796385	-0.026171	0.223822	0.553274	0.693099	0.542476	0.986198	1.603242	0.906511	0.446233	0.335109	
03/04/2010 07:04:38	-0.922512	-0.002591	-0.993243	-0.578145	-1.129919	-2.176668	0.400898	-0.852544	-1.582561	-0.495518	0.443627	-0.552468	-0.417901	-0.196933	-0.413867	0.242239	-0.151043	-0.039782	-0.316560	-0.571767	0.378255	0.848510	-0.687460	-1.000569	-0.574163	-0.408484	0.015613	0.276091	0.498977	2.160588	0.250160	0.424793	-0.333740	0.931795	0.826194	1.167139	-0.902373	-0.009536	0.353305	0.794931	-0.025688	0.223022	0.548250	0.693457	0.558632	0.984275	1.592968	0.905613	0.455244	0.335086	
10/04/2010 06:22:20	-0.921997	0.023763	-1.028898	-0.566646	-1.132266	-2.153881	0.428017	-0.850002	-1.581194	-0.488336	0.439615	-0.555680	-0.423315	-0.208306	-0.418824	0.240858	-0.150250	-0.066431	-0.254488	-0.549087	0.378297	0.845653	-0.680939	-0.993906	-0.577668	-0.406084	0.011316	0.266564	0.512769	2.171727	0.241641	0.435607	-0.358352	0.934523	0.826903	1.165211	-0.945255	0.008272	0.344898	0.807088	-0.041373	0.224365	0.564728	0.672397	0.488135	0.977691	1.615087	0.891407	0.456984	0.338856	
17/04/2010 07:03:05	-0.920893	0.016733	-0.982372	-0.568129	-1.131472	-2.164533	0.432270	-0.812399	-1.581136	-0.481000	0.413712	-0.561602	-0.443545	-0.184820	-0.404316	0.248340	-0.146633	-0.052148	-0.336159	-0.592776	0.415002	0.797654	-0.650814	-0.963011	-0.545739	-0.406466	0.009893	0.285518	0.510235	2.173518	0.243003	0.428862	-0.351017	0.937568	0.828573	1.168353	-0.940307	0.008617	0.350660	0.801676	-0.033759	0.222601	0.559481	0.675603	0.591991	0.964784	1.565309	0.905708	0.468937	0.359057	
24/04/2010 07:02:09	-0.921271	0.014169	-1.017742	-0.568719	-1.135127	-2.167515	0.356716	-1.012124	-1.581404	-0.480645	0.416977	-0.539748	-0.491706	-0.233030	-0.397156	0.252408	-0.138185	-0.049668	-0.302947	-0.574098	0.362195	0.802868	-0.656990	-0.886580	-0.561824	-0.405475	0.015797	0.292081	0.508641	2.175747	0.244831	0.424848	-0.346916	0.936415	0.829933	1.167252	-0.914535	0.009868	0.335374	0.798609	-0.032865	0.208220	0.563471	0.665814	0.525693	0.983983	1.589334	0.952717	0.490972	0.377042	
01/05/2010 07:02:18	-0.921228	0.012277	-0.958815	-0.565015	-1.133977	-2.163527	0.413824	-0.829484	-1.581547	-0.480407	0.422875	-0.535233	-0.449203	-0.188094	-0.408423	0.252242	-0.146937	-0.053787	-0.337091	-0.584063	0.367202	0.797169	-0.652285	-0.963645	-0.550450	-0.407004	0.013335	0.305364	0.511156	2.174947	0.242523	0.428423	-0.359337	0.936944	0.827291	1.168205	-0.914974	0.007534	0.346863	0.805137	-0.039632	0.221269	0.560331	0.678452	0.591067	0.972918	1.573887	0.899736	0.467354	0.356013	
15/05/2010 07:02:18	-0.918378	0.004129	-0.999548	-0.578517	-1.139843	-2.157307	0.425070	-0.745352	-1.578923	-0.483594	0.453539	-0.539174	-0.490386	-0.221716	-0.392440	0.261369	-0.142596	-0.058561	-0.309134	-0.578493	0.362977	0.793199	-0.610521	-0.939939	-0.546004	-0.405353	0.012495	0.349978	0.491582	2.186894	0.251238	0.422110	-0.352077	0.937755	0.833386	1.149036	-0.963163	0.010608	0.335877	0.814099	-0.044171	0.217041	0.558092	0.666683	0.560836	0.976722	1.611344	0.966047	0.498941	0.382495	
22/05/2010 07:01:31	-0.922854	0.035242	-0.984432	-0.581265	-1.142861	-2.150403	0.376215	-0.768923	-1.586004	-0.478951	0.445752	-0.545736	-0.500261	-0.229112	-0.392169	0.259775	-0.139580	-0.060933	-0.301508	-0.564240	0.353906	0.777516	-0.644250	-0.876900	-0.557520	-0.402820	0.013904	0.346883	0.511501	2.207264	0.252455	0.427619	-0.362314	0.937588	0.833705	1.159612	-0.935349	0.014323	0.331628	0.813112	-0.043228	0.212251	0.563738	0.664384	0.541578	0.976830	1.612825	0.948903	0.504414	0.383494	
29/05/2010 07:02:23	-0.919462	0.034623	-0.969246	-0.577036	-1.143994	-2.163720	0.382660	-0.812089	-1.581923	-0.494027	0.422100	-0.548413	-0.422249	-0.202795	-0.413341	0.247452	-0.152956	-0.074549	-0.287640	-0.534155	0.398205	0.855869	-0.650472	-0.961553	-0.530851	-0.405508	0.014046	0.362137	0.499873	2.202647	0.239956	0.420889	-0.350226	0.937989	0.831752	1.162873	-0.926859	0.007935	0.345296	0.808760	-0.042901	0.223370	0.563596	0.681741	0.512028	0.959080	1.597122	0.885724	0.477075	0.400148	
04/06/2010 07:02:52	-0.914952	-0.003024	-1.048766	-0.574718	-1.146638	-2.160967	0.385745	-0.972152	-1.580708	-0.481218	0.402839	-0.543158	-0.503882	-0.234473	-0.409810	0.246384	-0.129132	-0.056089	-0.294944	-0.544141	0.359829	0.802549	-0.641451	-0.935122	-0.538849	-0.406768	0.016404	0.319256	0.494801	2.211485	0.236320	0.427603	-0.337125	0.941514	0.830653	1.161309	-0.943840	0.013819	0.335016	0.810602	-0.046593	0.205278	0.554034	0.649631	0.516059	0.985319	1.600612	0.920261	0.514660	0.383788	
12/06/2010 07:01:56	-0.911590	0.048595	-1.087721	-0.573549	-1.146511	-2.166599	0.439717	-0.858441	-1.577155	-0.476115	0.443027	-0.535439	-0.497617	-0.223349	-0.396505	0.260044	-0.139948	-0.049214	-0.307525	-0.568027	0.353552	0.793247	-0.639697	-0.919400	-0.544232	-0.403872	0.020228	0.299733	0.493590	2.205465	0.239548	0.415593	-0.342486	0.936614	0.837737	1.163863	-0.921072	0.019207	0.331270	0.805127	-0.052607	0.210835	0.556584	0.644952	0.529136	1.000149	1.614001	0.972251	0.506267	0.343634	
12/06/2010 07:01:56	-0.911590	0.048595	-1.087721	-0.573549	-1.146511	-2.166599	0.439717	-0.858441	-1.577155	-0.476115	0.443027	-0.535439	-0.497617	-0.223349	-0.396505	0.260044	-0.139948	-0.049214	-0.307525	-0.568027	0.353552	0.793247	-0.639697	-0.919400	-0.544232	-0.403872	0.020228	0.299733	0.493590	2.205465	0.239548	0.415593	-0.342486	0.936614	0.837737	1.163863	-0.921072	0.019207	0.331270	0.805127	-0.052607	0.210835	0.556584	0.644952	0.529136	1.000149	1.614001	0.972251	0.506267	0.343634	
19/06/2010 07:18:54	-0.904960	0.004137	-1.047421	-0.568153	-1.147624	-2.183038	0.341272	-0.960497	-1.575618	-0.476456	0.397625	-0.553239	-0.490310	-0.216822	-0.391901	0.258201	-0.133736	-0.075485	-0.316651	-0.570487	0.360915	0.785118	-0.614515	-0.947395	-0.533874	-0.423834	0.004184	0.411820	0.496250	2.203055	0.227997	0.439967	-0.340435	0.949097	0.830447	1.151900	-0.908597	0.013683	0.360644	0.798132	-0.053892	0.220267	0.554779	0.638783	0.522856	0.995673	1.597680	0.978457	0.516816	0.332041	
20/06/2010 01:31:22	-0.907406	0.048602	-1.048045	-0.569499	-1.167386	-2.486337	0.493116	-0.891619	-1.604344	-0.449311	0.470111	-0.488117	-0.507959	-0.180966	-0.407732	0.288312	-0.115222	-0.089351	-0.277603	-0.515779	0.374039	0.799416	-0.654007	-0.993462	-0.546954	-0.404970	0.014572	0.439080	0.511527	2.195273	0.574050	0.462702	-0.277055	0.992286	0.885402	1.163535	-0.831311	0.060315	0.373216	0.873880	-0.009271	0.286175	0.618823	0.677764	0.533971	0.997099	1.619155	0.991484	0.604480	0.360410	
