Arquivo: c:\arq\medidas\BBA_1203_071921\BBA_AMP08A_V.dat
Data: 1203	 Hora:  0812
Comentário: 
NomeParametro	 ValorParametro
Nmedias	5
PausaCorretora	3000
PausaShunt	2000
PausaLeitura	500
NumCiclos	3
 NPassosCor	9
DeltaShunt	3.00
TetaIni	-0.20
TetaFim	0.20
I[mA]	  57.6
ACV07B	DeltaPos^2	AMP08A	AMP01B_0	AMP02A_0	AMP02B_0	AMP03A_0	AMP03B_0	AMP04A_0	AMP04B_0	AMP05A_0	AMP05B_0	AMP06A_0	AMP06B_0	AMP07A_0	AMP07B_0	AMP08A_0	AMP08B_0	AMP09A_0	AMP09B_0	AMP10A_0	AMP10B_0	AMP11A_0	AMU11A_0	AMU11B_0	AMP11B_0	AMP12A_0	AMP12B_0	AMP01A_0	AMP01B_1	AMP02A_1	AMP02B_1	AMP03A_1	AMP03B_1	AMP04A_1	AMP04B_1	AMP05A_1	AMP05B_1	AMP06A_1	AMP06B_1	AMP07A_1	AMP07B_1	AMP08A_1	AMP08B_1	AMP09A_1	AMP09B_1	AMP10A_1	AMP10B_1	AMP11A_1	AMU11A_1	AMU11B_1	AMP11B_1	AMP12A_1	AMP12B_1	AMP01A_1	
-0.2000	 2.08877214156172E-0003	-0.6267	-2.6756	-1.5706	0.2030	1.1244	2.9675	0.5429	-1.7216	-1.4025	2.5749	2.6108	0.5309	1.3125	-1.8757	-0.6267	-1.0626	-0.6231	1.9970	1.4422	-0.2650	-0.0340	-0.6380	1.9022	1.6585	1.9865	2.2752	2.0732	-2.7433	-1.6212	0.1799	1.1172	3.0101	0.5617	-1.7557	-1.4676	2.6069	2.6484	0.5807	1.3718	-1.9514	-0.6728	-1.1039	-0.6641	2.0670	1.4810	-0.2760	-0.0125	-0.6747	1.8950	1.7381	2.0032	2.3245	2.1403	
-0.1500	 1.18207106675855E-0003	-0.2393	-2.1342	-1.2182	0.2524	0.9858	2.7685	0.5358	-1.3839	-0.8654	2.1860	2.2530	0.2208	1.0229	-1.3524	-0.2393	-0.8254	-0.4806	1.5431	1.2433	-0.0520	-0.0516	-0.2544	1.8108	1.3685	1.7546	1.8984	1.6317	-2.1853	-1.2562	0.2352	0.9808	2.8008	0.5501	-1.4098	-0.9148	2.2096	2.2817	0.2587	1.0675	-1.4099	-0.2745	-0.8562	-0.5104	1.5953	1.2716	-0.0609	-0.0292	-0.2822	1.8061	1.4281	1.7673	1.9355	1.6820	
-0.1000	 4.46747515232573E-0004	0.1678	-1.5617	-0.8471	0.3054	0.8418	2.5578	0.5278	-1.0292	-0.2998	1.7767	1.8757	-0.1063	0.7135	-0.7991	0.1678	-0.5779	-0.3337	1.0659	1.0353	0.1735	-0.0337	0.1498	1.7123	1.0604	1.5080	1.5009	1.1668	-1.5933	-0.8704	0.2950	0.8386	2.5776	0.5367	-1.0453	-0.3301	1.7915	1.8934	-0.0831	0.7417	-0.8344	0.1461	-0.5967	-0.3513	1.0977	1.0523	0.1679	-0.0513	0.1326	1.7100	1.0971	1.5161	1.5236	1.1976	
