Arquivo: c:\arq\medidas\BBA_1503_140130\BBA_AMP03C_H.dat
Data: 1503	 Hora:  1401
Comentário: Medida BBA do AMP03C
NomeParametro	 ValorParametro
Nmedias	5
PausaCorretora	3000
PausaShunt	2000
PausaLeitura	500
NumCiclos	3
 NPassosCor	11
DeltaShunt	3.00
TetaIni	-0.20
TetaFim	0.20
I[mA]	 184.5
ACH07A	DeltaPos^2	AMP03C	AMP01B_0	AMP02A_0	AMP02B_0	AMP03A_0	AMP03B_0	AMP03C_0	AMP04A_0	AMP04B_0	AMP05A_0	AMP05B_0	AMP06A_0	AMP06B_0	AMP07A_0	AMP07B_0	AMP08A_0	AMP08B_0	AMP09A_0	AMP09B_0	AMP10A_0	AMP10B_0	AMU11A_0	AMU11B_0	AMP12A_0	AMP12B_0	AMP01A_0	AMP01B_1	AMP02A_1	AMP02B_1	AMP03A_1	AMP03B_1	AMP03C_1	AMP04A_1	AMP04B_1	AMP05A_1	AMP05B_1	AMP06A_1	AMP06B_1	AMP07A_1	AMP07B_1	AMP08A_1	AMP08B_1	AMP09A_1	AMP09B_1	AMP10A_1	AMP10B_1	AMU11A_1	AMU11B_1	AMP12A_1	AMP12B_1	AMP01A_1	
-0.2000	 1.40725092226425E-0003	-1.5236	1.3691	-0.3079	-3.0561	1.1491	0.9252	-1.5236	-0.2471	-0.9076	-2.4989	-0.4353	1.6208	-0.4062	-2.9675	-3.3414	0.2583	1.4018	-0.7875	-1.4144	-0.5204	-0.4256	1.7758	1.5558	-1.7086	-1.7446	2.2723	1.3835	-0.3352	-3.0703	1.2152	0.9849	-1.4991	-0.2453	-0.9242	-2.5220	-0.4393	1.6467	-0.3962	-3.0346	-3.3990	0.2915	1.4308	-0.8540	-1.4858	-0.5014	-0.3955	1.7506	1.5174	-1.7151	-1.7329	2.3048	
-0.1600	 7.12911345029653E-0004	-1.7217	0.8685	-0.1144	-2.8297	0.8289	0.5050	-1.7217	-0.2376	-0.7599	-2.3806	-0.4678	1.4385	-0.4637	-2.4876	-2.8079	0.1305	1.1771	-0.6537	-1.1408	-0.4472	-0.4922	1.4991	1.3737	-1.4824	-1.6125	1.7562	0.8795	-0.1339	-2.8404	0.8763	0.5479	-1.7050	-0.2358	-0.7716	-2.3976	-0.4711	1.4571	-0.4567	-2.5367	-2.8502	0.1539	1.1980	-0.7003	-1.1907	-0.4347	-0.4715	1.4827	1.3481	-1.4870	-1.6050	1.7803	
-0.1200	 2.59251040578363E-0004	-1.9189	0.3657	0.0783	-2.6029	0.5095	0.0853	-1.9189	-0.2278	-0.6127	-2.2608	-0.4989	1.2555	-0.5218	-2.0042	-2.2699	0.0020	0.9514	-0.5191	-0.8655	-0.3743	-0.5595	1.2231	1.1923	-1.2557	-1.4809	1.2355	0.3728	0.0660	-2.6098	0.5383	0.1117	-1.9097	-0.2272	-0.6197	-2.2714	-0.5012	1.2667	-0.5179	-2.0345	-2.2964	0.0158	0.9639	-0.5465	-0.8953	-0.3676	-0.5476	1.2149	1.1788	-1.2592	-1.4770	1.2509	
-0.0800	 2.54423144949229E-0005	-2.1244	-0.1622	0.2791	-2.3646	0.1754	-0.3533	-2.1244	-0.2183	-0.4592	-2.1343	-0.5307	1.0632	-0.5827	-1.4950	-1.7035	-0.1321	0.7156	-0.3801	-0.5781	-0.2975	-0.6291	0.9319	1.0005	-1.0185	-1.3423	0.6864	-0.1590	0.2749	-2.3683	0.1848	-0.3441	-2.1228	-0.2185	-0.4620	-2.1382	-0.5317	1.0670	-0.5823	-1.5060	-1.7127	-0.1285	0.7188	-0.3863	-0.5856	-0.2970	-0.6272	0.9327	1.0001	-1.0206	-1.3429	0.6932	
-0.0400	 5.15478344423161E-0005	-2.3269	-0.6856	0.4778	-2.1283	-0.1555	-0.7869	-2.3269	-0.2089	-0.3077	-2.0096	-0.5624	0.8736	-0.6427	-0.9896	-1.1407	-0.2648	0.4814	-0.2426	-0.2935	-0.2211	-0.6979	0.6418	0.8096	-0.7822	-1.2049	0.1402	-0.6873	0.4812	-2.1277	-0.1657	-0.7957	-2.3333	-0.2102	-0.3058	-2.0063	-0.5620	0.8689	-0.6460	-0.9797	-1.1320	-0.2718	0.4751	-0.2290	-0.2787	-0.2265	-0.7051	0.6507	0.8216	-0.7828	-1.2090	0.1367	
0.0000	 3.49126441623742E-0004	-2.5283	-1.2110	0.6760	-1.8909	-0.4868	-1.2198	-2.5283	-0.1994	-0.1559	-1.8840	-0.5939	0.6827	-0.7032	-0.4826	-0.5757	-0.3969	0.2463	-0.1070	-0.0100	-0.1439	-0.7662	0.3491	0.6159	-0.5454	-1.0668	-0.4084	-1.2176	0.6875	-1.8862	-0.5169	-1.2469	-2.5430	-0.2012	-0.1491	-1.8736	-0.5925	0.6703	-0.7093	-0.4514	-0.5489	-0.4143	0.2305	-0.0727	0.0272	-0.1555	-0.7827	0.3657	0.6399	-0.5439	-1.0745	-0.4225	
0.0400	 9.13733401204568E-0004	-2.7305	-1.7371	0.8746	-1.6519	-0.8197	-1.6539	-2.7305	-0.1899	-0.0044	-1.7592	-0.6266	0.4915	-0.7628	0.0255	-0.0091	-0.5299	0.0094	0.0277	0.2742	-0.0657	-0.8337	0.0535	0.4195	-0.3074	-0.9267	-0.9616	-1.7489	0.8940	-1.6433	-0.8694	-1.6983	-2.7529	-0.1921	0.0075	-1.7416	-0.6238	0.4710	-0.7726	0.0779	0.0358	-0.5569	-0.0153	0.0827	0.3338	-0.0832	-0.8600	0.0782	0.4561	-0.3043	-0.9385	-0.9851	
0.0800	 1.76618030998893E-0003	-2.9323	-2.2631	1.0740	-1.4114	-1.1539	-2.0871	-2.9323	-0.1789	0.1485	-1.6353	-0.6605	0.3005	-0.8218	0.5327	0.5561	-0.6606	-0.2261	0.1601	0.5554	0.0144	-0.9000	-0.2460	0.2191	-0.0676	-0.7849	-1.5156	-2.2792	1.1004	-1.3995	-1.2222	-2.1485	-2.9621	-0.1829	0.1647	-1.6095	-0.6558	0.2713	-0.8355	0.6071	0.6201	-0.6989	-0.2614	0.2359	0.6379	-0.0094	-0.9364	-0.2125	0.2687	-0.0633	-0.8011	-1.5487	
0.1200	 2.86017073128359E-0003	-3.1316	-2.7806	1.2709	-1.1732	-1.4851	-2.5144	-3.1316	-0.1681	0.2997	-1.5131	-0.6955	0.1108	-0.8801	1.0341	1.1151	-0.7904	-0.4604	0.2891	0.8327	0.0946	-0.9652	-0.5446	0.0187	0.1698	-0.6440	-2.0625	-2.8018	1.3055	-1.1570	-1.5734	-2.5937	-3.1691	-0.1725	0.3207	-1.4806	-0.6897	0.0740	-0.8969	1.1289	1.1966	-0.8394	-0.5054	0.3852	0.9373	0.0651	-1.0108	-0.5037	0.0798	0.1764	-0.6634	-2.1063	
0.1600	 4.21486509961402E-0003	-3.3297	-3.2938	1.4677	-0.9347	-1.8174	-2.9407	-3.3297	-0.1555	0.4514	-1.3949	-0.7336	-0.0766	-0.9362	1.5295	1.6668	-0.9180	-0.6927	0.4144	1.1061	0.1762	-1.0281	-0.8455	-0.1856	0.4077	-0.5015	-2.6066	-3.3205	1.5098	-0.9143	-1.9250	-3.0367	-3.3751	-0.1609	0.4769	-1.3548	-0.7264	-0.1219	-0.9565	1.6457	1.7662	-0.9769	-0.7469	0.5304	1.2327	0.1410	-1.0832	-0.7969	-0.1119	0.4162	-0.5247	-2.6598	
0.2000	 5.80092003897128E-0003	-3.5274	-3.8014	1.6647	-0.6960	-2.1499	-3.3637	-3.5274	-0.1419	0.6035	-1.2793	-0.7743	-0.2634	-0.9912	2.0207	2.2132	-1.0447	-0.9246	0.5357	1.3753	0.2590	-1.0899	-1.1489	-0.3934	0.6447	-0.3583	-3.1451	-3.8317	1.7139	-0.6721	-2.2760	-3.4758	-3.5798	-0.1487	0.6336	-1.2313	-0.7654	-0.3170	-1.0153	2.1571	2.3298	-1.1138	-0.9881	0.6722	1.5243	0.2179	-1.1548	-1.0923	-0.3071	0.6550	-0.3850	-3.2076	
