Arquivo: c:\arq\medidas\BBA_1503_140130\BBA_AMP03C_V.dat
Data: 1503	 Hora:  1403
Comentário: Medida BBA do AMP03C
NomeParametro	 ValorParametro
Nmedias	5
PausaCorretora	3000
PausaShunt	2000
PausaLeitura	500
NumCiclos	3
 NPassosCor	11
DeltaShunt	3.00
TetaIni	-0.20
TetaFim	0.20
I[mA]	 184.1
ACV09B	DeltaPos^2	AMP03C	AMP01B_0	AMP02A_0	AMP02B_0	AMP03A_0	AMP03B_0	AMP03C_0	AMP04A_0	AMP04B_0	AMP05A_0	AMP05B_0	AMP06A_0	AMP06B_0	AMP07A_0	AMP07B_0	AMP08A_0	AMP08B_0	AMP09A_0	AMP09B_0	AMP10A_0	AMP10B_0	AMU11A_0	AMU11B_0	AMP12A_0	AMP12B_0	AMP01A_0	AMP01B_1	AMP02A_1	AMP02B_1	AMP03A_1	AMP03B_1	AMP03C_1	AMP04A_1	AMP04B_1	AMP05A_1	AMP05B_1	AMP06A_1	AMP06B_1	AMP07A_1	AMP07B_1	AMP08A_1	AMP08B_1	AMP09A_1	AMP09B_1	AMP10A_1	AMP10B_1	AMU11A_1	AMU11B_1	AMP12A_1	AMP12B_1	AMP01A_1	
-0.2000	 4.49230427207149E-0002	-2.7121	0.4296	0.8582	1.5504	1.8242	0.6145	-2.7121	-0.6266	-0.1587	1.7345	1.2335	0.7977	-2.0606	-1.8784	1.9303	2.2788	0.7837	0.5477	-1.5246	-0.5632	-0.0371	0.8098	2.5478	1.4868	-0.0459	-1.2290	0.1850	0.6449	1.3875	1.6841	0.8608	-2.2029	-0.4081	-0.0359	1.7950	0.9937	0.6937	-1.9412	-1.6143	1.8308	2.1412	0.5720	0.2920	-1.2062	-0.3573	-0.0067	0.7259	2.4306	1.4849	0.1463	-0.9265	
-0.1600	 2.86703146713099E-0002	-2.1058	0.2880	0.6859	1.3320	1.5695	0.8966	-2.1058	-0.4148	-0.1832	1.5709	1.1719	0.8505	-1.8226	-1.5157	1.6242	2.0357	0.6242	0.4416	-1.2252	-0.3434	0.0911	0.8406	2.3451	1.3856	0.0836	-0.9656	0.0934	0.5161	1.2023	1.4574	1.0914	-1.6962	-0.2404	-0.0854	1.6193	0.9809	0.7674	-1.7271	-1.3041	1.5445	1.9261	0.4551	0.2379	-0.9710	-0.1792	0.1159	0.7741	2.2510	1.3836	0.2361	-0.7242	
-0.1200	 1.57088476106928E-0002	-1.4829	0.1438	0.5102	1.1095	1.3101	1.1825	-1.4829	-0.1986	-0.2076	1.4051	1.1080	0.9032	-1.5802	-1.1457	1.3132	1.7887	0.4610	0.3326	-0.9198	-0.1198	0.2218	0.8719	2.1377	1.2822	0.2153	-0.6967	0.0004	0.3851	1.0133	1.2269	1.3255	-1.1790	-0.0704	-0.1352	1.4406	0.9669	0.8420	-1.5094	-0.9889	1.2536	1.7072	0.3357	0.1821	-0.7306	0.0015	0.2399	0.8223	2.0673	1.2804	0.3277	-0.5180	
-0.0800	 6.37721459481665E-0003	-0.8454	-0.0047	0.3307	0.8827	1.0468	1.4731	-0.8454	0.0212	-0.2322	1.2367	1.0427	0.9565	-1.3331	-0.7678	0.9956	1.5361	0.2939	0.2206	-0.6068	0.1083	0.3535	0.9023	1.9271	1.1784	0.3502	-0.4214	-0.0953	0.2512	0.8212	0.9931	1.5629	-0.6517	0.1033	-0.1857	1.2599	0.9525	0.9173	-1.2880	-0.6679	0.9577	1.4842	0.2140	0.1245	-0.4860	0.1857	0.3654	0.8704	1.8813	1.1767	0.4215	-0.3081	
-0.0400	 1.08784007867557E-0003	-0.1968	-0.1558	0.1482	0.6522	0.7789	1.7672	-0.1968	0.2447	-0.2567	1.0664	0.9756	1.0101	-1.0829	-0.3845	0.6740	1.2798	0.1240	0.1064	-0.2888	0.3394	0.4864	0.9325	1.7128	1.0731	0.4875	-0.1422	-0.1923	0.1159	0.6268	0.7558	1.8024	-0.1175	0.2784	-0.2366	1.0770	0.9372	0.9931	-1.0647	-0.3432	0.6583	1.2587	0.0909	0.0657	-0.2383	0.3720	0.4920	0.9190	1.6927	1.0718	0.5164	-0.0958	
0.0000	 2.08752013269460E-0004	0.4569	-0.3090	-0.0366	0.4196	0.5074	2.0622	0.4569	0.4699	-0.2807	0.8955	0.9070	1.0635	-0.8304	0.0017	0.3495	1.0211	-0.0480	-0.0101	0.0321	0.5732	0.6215	0.9627	1.4959	0.9666	0.6261	0.1390	-0.2907	-0.0211	0.4307	0.5155	2.0431	0.4209	0.4552	-0.2875	0.8928	0.9213	1.0693	-0.8390	-0.0161	0.3565	1.0310	-0.0339	0.0061	0.0115	0.5598	0.6197	0.9675	1.5018	0.9656	0.6123	0.1184	
0.0400	 3.89313189299597E-0003	1.1146	-0.4640	-0.2228	0.1846	0.2333	2.3591	1.1146	0.6974	-0.3042	0.7241	0.8371	1.1166	-0.5760	0.3902	0.0232	0.7605	-0.2214	-0.1277	0.3561	0.8088	0.7571	0.9930	1.2770	0.8586	0.7654	0.4240	-0.3901	-0.1588	0.2330	0.2735	2.2846	0.9621	0.6337	-0.3382	0.7082	0.9047	1.1452	-0.6121	0.3123	0.0530	0.8016	-0.1592	-0.0539	0.2641	0.7492	0.7484	1.0161	1.3093	0.8583	0.7087	0.3345	
0.0800	 1.22029505581219E-0002	1.7721	-0.6196	-0.4096	-0.0523	-0.0427	2.6553	1.7721	0.9260	-0.3264	0.5532	0.7657	1.1687	-0.3210	0.7799	-0.3046	0.4984	-0.3957	-0.2465	0.6811	1.0455	0.8935	1.0233	1.0559	0.7507	0.9056	0.7100	-0.4901	-0.2974	0.0336	0.0295	2.5263	1.5039	0.8126	-0.3886	0.5237	0.8879	1.2211	-0.3840	0.6422	-0.2519	0.5714	-0.2857	-0.1148	0.5166	0.9393	0.8778	1.0651	1.1154	0.7509	0.8053	0.5522	
0.1200	 2.49566440343964E-0002	2.4234	-0.7746	-0.5961	-0.2887	-0.3184	2.9497	2.4234	1.1547	-0.3481	0.3832	0.6933	1.2202	-0.0664	1.1684	-0.6312	0.2373	-0.5694	-0.3653	1.0056	1.2817	1.0307	1.0551	0.8346	0.6424	1.0459	0.9956	-0.5898	-0.4358	-0.1658	-0.2147	2.7664	2.0426	0.9924	-0.4383	0.3393	0.8693	1.2959	-0.1564	0.9716	-0.5564	0.3412	-0.4114	-0.1758	0.7696	1.1290	1.0078	1.1149	0.9213	0.6434	0.9026	0.7694	
0.1600	 4.21505784939075E-0002	3.0717	-0.9303	-0.7839	-0.5270	-0.5966	3.2446	3.0717	1.3848	-0.3691	0.2129	0.6192	1.2710	0.1891	1.5585	-0.9596	-0.0258	-0.7444	-0.4845	1.3318	1.5194	1.1692	1.0876	0.6108	0.5322	1.1866	1.2831	-0.6898	-0.5752	-0.3668	-0.4612	3.0081	2.5814	1.1733	-0.4872	0.1543	0.8502	1.3706	0.0725	1.3028	-0.8629	0.1095	-0.5382	-0.2368	1.0240	1.3202	1.1393	1.1653	0.7247	0.5340	0.9998	0.9883	
