Arquivo: c:\arq\medidas\BBA_2003_071015\BBA_AMP04A_H.dat
Data: 2003	 Hora:  0729
Comentário: 
NomeParametro	 ValorParametro
Nmedias	5
PausaCorretora	3000
PausaShunt	2000
PausaLeitura	500
NumCiclos	3
 NPassosCor	7
DeltaShunt	3.00
TetaIni	-0.20
TetaFim	0.20
I[mA]	 154.2
ACH09A	DeltaPos^2	AMP04A	AMP01B_0	AMP02A_0	AMP02B_0	AMP03A_0	AMP03B_0	AMP03C_0	AMP04A_0	AMP04B_0	AMP05A_0	AMP05B_0	AMP06A_0	AMP06B_0	AMP07A_0	AMP07B_0	AMP08A_0	AMP08B_0	AMP09A_0	AMP09B_0	AMP10A_0	AMP10B_0	AMU11A_0	AMU11B_0	AMP12A_0	AMP12B_0	AMP01A_0	AMP01B_1	AMP02A_1	AMP02B_1	AMP03A_1	AMP03B_1	AMP03C_1	AMP04A_1	AMP04B_1	AMP05A_1	AMP05B_1	AMP06A_1	AMP06B_1	AMP07A_1	AMP07B_1	AMP08A_1	AMP08B_1	AMP09A_1	AMP09B_1	AMP10A_1	AMP10B_1	AMU11A_1	AMU11B_1	AMP12A_1	AMP12B_1	AMP01A_1	
-0.2000	 3.55235397250964E-0001	-0.5697	-0.6201	-0.0273	-2.4575	0.1647	-0.6491	-2.2890	-0.5697	-0.4971	-1.0204	0.6490	0.7259	-1.0862	-0.9106	-0.6279	0.0504	0.3948	-1.5404	-1.6711	0.0733	-0.3065	0.0508	-0.0780	-0.6900	-0.8698	0.4706	-1.2033	0.6099	-1.9290	-0.4405	-1.2032	-2.5409	-0.2639	-0.1725	-1.7682	-0.4441	0.6855	-0.7544	-0.5534	-0.5881	-0.3294	0.2617	-0.3217	-0.2389	-0.0886	-0.6793	0.2373	0.4611	-0.5328	-1.0128	-0.3603	
-0.1333	 1.78249891239756E-0001	-0.4466	-0.6742	0.2662	-2.2287	-0.0239	-0.8262	-2.3232	-0.4466	-0.3958	-1.3590	0.1569	0.7080	-0.9381	-0.7674	-0.6037	-0.1035	0.3304	-1.1391	-1.2011	-0.0130	-0.4335	0.1354	0.1668	-0.6581	-0.9188	0.3655	-1.2123	0.6298	-1.9189	-0.4606	-1.2145	-2.5414	-0.2394	-0.1578	-1.8109	-0.4998	0.6841	-0.7353	-0.5237	-0.5780	-0.3480	0.2546	-0.2573	-0.1688	-0.1088	-0.7059	0.2680	0.5083	-0.5342	-1.0285	-0.3819	
-0.0667	 3.43991507459373E-0002	-0.2928	-1.0738	0.5307	-2.0079	-0.3248	-1.0836	-2.4880	-0.2928	-0.2280	-1.6712	-0.2959	0.6931	-0.7957	-0.5842	-0.5822	-0.2618	0.2628	-0.5985	-0.5649	-0.0881	-0.5952	0.2128	0.3912	-0.5744	-0.9835	-0.1842	-1.2277	0.6679	-1.8892	-0.4981	-1.2351	-2.5425	-0.2082	-0.1365	-1.8672	-0.5814	0.6734	-0.7114	-0.4726	-0.5574	-0.3900	0.2336	-0.1610	-0.0663	-0.1369	-0.7505	0.3143	0.5755	-0.5333	-1.0560	-0.4216	
0.0000	 1.07604050111704E-0003	-0.2406	-1.2452	0.6573	-1.8769	-0.4176	-1.1681	-2.5271	-0.2406	-0.1810	-1.8115	-0.5030	0.6784	-0.7278	-0.4833	-0.5386	-0.3499	0.2525	-0.2205	-0.1187	-0.0906	-0.7037	0.2608	0.5104	-0.5150	-1.0218	-0.4168	-1.2164	0.6588	-1.8905	-0.4616	-1.1997	-2.5291	-0.2225	-0.1547	-1.8513	-0.5576	0.6719	-0.7174	-0.4709	-0.5451	-0.3817	0.2386	-0.1636	-0.0677	-0.1257	-0.7411	0.3112	0.5674	-0.5345	-1.0537	-0.4038	
