# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-011   +9.978577e+00   +3.407820e-04 +3.208397e-05 +1.978501e-03 +8.483158e-03 -7.567794e+00 +1.258018e+02 -4.784429e+04 -6.214962e+04 +5.015885e+05 -3.665465e+08 +6.966696e+10 +9.615296e+09   -1.658290e-07 +1.217467e-05 +2.126075e-04 +5.553272e-04 -8.219412e-01 +5.155503e+01 +4.684309e+03 +1.071821e+03 -1.035149e+06 +8.140063e+07 +1.975439e+09 -1.077419e+12   
BC-014   +9.978484e+00   +3.403392e-04 +3.694461e-05 +2.270186e-03 -1.525971e-03 -7.717074e+00 +1.256222e+02 -4.732512e+04 -3.503744e+04 -5.210788e+06 -2.498178e+08 +6.551754e+10 +4.881143e+11   +3.690324e-08 +1.878343e-05 +4.809313e-04 -3.248354e-03 -1.016978e+00 +5.713582e+01 +3.643165e+03 +1.732150e+04 -1.250976e+06 -2.548325e+08 -9.205288e+09 +1.333240e+11   
BC-015   +9.978621e+00   +3.392496e-04 +4.295361e-05 +2.599162e-03 +5.855685e-03 -7.795319e+00 +1.169063e+02 -4.756564e+04 -6.430345e+04 -5.175284e+06 -3.755910e+08 +7.039230e+10 +3.989504e+11   -3.473019e-07 +1.348580e-05 +2.376319e-04 -2.008505e-03 -1.116372e+00 +3.886403e+01 +3.883692e+03 -1.328022e+04 -3.965917e+06 -1.924812e+08 -2.626738e+09 -6.153302e+09   
BC-018   +9.977757e+00   +3.401989e-04 +5.259912e-05 +1.896165e-03 +1.457894e-02 -7.542721e+00 +1.514465e+02 -4.805243e+04 -7.056402e+04 -4.832151e+06 -4.262064e+08 +5.323705e+10 +1.026147e+12   -4.605030e-07 +6.592242e-06 -3.583479e-05 -1.030909e-04 -1.753754e+00 +2.918657e+01 +2.021726e+03 -5.975039e+04 -1.064032e+07 +1.544089e+08 -2.165964e+10 +5.835862e+11   
BC-019   +9.979619e+00   +3.391903e-04 +4.893049e-05 +2.353990e-03 -1.122328e-03 -7.865207e+00 +8.587391e+01 -4.820928e+04 -8.676361e+04 -5.494253e+06 -3.150042e+08 +7.621679e+10 +1.413194e+12   -6.067851e-07 +1.074426e-05 +3.194213e-04 +4.208404e-03 -1.268467e+00 +6.878451e+01 +5.330876e+03 +5.381337e+04 +1.238362e+05 +2.375151e+08 +1.226106e+10 +1.471606e+12   
BC-024   +9.980405e+00   +3.399162e-04 +4.776037e-05 +2.364696e-03 +7.389082e-03 -8.087721e+00 +1.498747e+02 -4.710567e+04 -1.454948e+04 -3.483267e+06 -4.880724e+08 +5.599837e+10 +6.961070e+11   -4.560852e-07 +2.843724e-06 +2.523223e-04 +6.482681e-03 -1.283612e+00 +5.186140e+01 +3.752422e+03 +3.341206e+04 +1.924197e+05 +8.951839e+07 +5.906237e+09 +2.665746e+10   
BC-025   +9.979924e+00   +3.401440e-04 +4.893471e-05 +2.128020e-03 +7.309339e-03 -8.134557e+00 +1.558424e+02 -4.774348e+04 -6.983100e+04 -4.064676e+06 -4.130815e+08 +6.727014e+10 -9.803677e+10   +6.941997e-08 +2.239797e-05 +5.747187e-04 +1.862168e-03 -1.213561e+00 +3.205877e+01 +4.209754e+03 -7.170964e+04 -8.102408e+05 +3.088098e+07 -3.830600e+08 -4.282329e+11   
BC-026   +9.979326e+00   +3.392911e-04 +4.827163e-05 +2.424513e-03 +6.188311e-03 -7.808442e+00 +1.499612e+02 -4.887159e+04 +2.930796e+04 -1.443000e+07 +1.417400e+08 +5.735580e+10 +1.076591e+12   -9.504988e-08 +2.983890e-05 +5.468621e-04 -2.061294e-03 -7.870981e-01 +1.682106e+01 +2.793524e+03 +6.066885e+03 -8.221029e+06 +2.732793e+08 -1.304691e+09 +9.451159e+11   
BC-027   +9.979065e+00   +3.396079e-04 +5.145893e-05 +2.366030e-03 +7.988115e-03 -7.975840e+00 +1.289836e+02 -4.705076e+04 -4.443878e+04 +2.091163e+06 -4.528851e+08 +7.743248e+10 +1.392490e+12   -2.973960e-07 +1.987781e-05 +2.738584e-04 -1.334309e-02 -1.217695e+00 +4.095538e+01 +4.691408e+03 +1.746506e+04 +6.724050e+05 -4.008644e+08 -1.725038e+10 -1.874753e+11   
BC-028   +9.979104e+00   +3.397731e-04 +4.450702e-05 +2.010644e-03 +4.529005e-03 -7.785034e+00 +1.441119e+02 -4.868354e+04 -6.777199e+04 -1.416878e+06 -4.710604e+08 +6.476824e+10 +2.995033e+11   -5.541169e-07 +3.035910e-06 +2.644690e-04 +5.603465e-03 -9.706333e-01 +3.549819e+01 +3.571079e+03 +3.135165e+03 -4.287097e+06 -6.527527e+07 +1.449738e+09 -3.125417e+11   
