# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-001   -9.996285e-01   +3.518678e-04 -3.720201e-04 +7.778563e-03 +7.524370e-02 -6.474158e+00 +5.867858e+01 -4.427877e+04 -6.042527e+05 -2.242918e+07 -4.886470e+08 +1.356533e+11 -1.963883e+12   +5.640068e-06 -1.283626e-04 -2.078216e-03 +3.246619e-02 +2.327667e+00 +1.169360e+02 -7.029886e+03 -1.189931e+05 -5.442533e+06 +7.815494e+08 +5.582107e+09 -3.390295e+12   
BC-002   -9.999142e-01   +3.504728e-04 -2.593135e-04 +7.088805e-03 +4.232763e-02 -8.541498e+00 +6.019321e+01 -5.213937e+04 +2.527205e+05 -8.059882e+06 -3.852830e+08 +5.812412e+10 -1.457325e+11   +4.119316e-06 -1.234442e-04 -2.021282e-03 +5.590734e-02 +1.864580e+00 +1.810708e+01 +5.158965e+03 -8.320050e+04 -8.296800e+06 +2.820596e+08 +2.055231e+10 -1.423757e+12   
BC-003   -1.000175e+00   +3.517691e-04 -2.289492e-04 +7.104643e-03 +4.766503e-02 -7.885075e+00 +6.159291e+01 -5.414146e+04 +2.326160e+04 +9.183722e+06 -8.078260e+08 +8.673948e+10 +6.754309e+11   +4.829856e-06 -1.021895e-04 -2.230913e-03 +6.303809e-02 +1.696441e+00 +3.308388e+01 +9.809537e+02 -2.377636e+04 +5.644653e+06 +5.264522e+08 +4.417012e+10 -1.712193e+12   
BC-004   -1.000183e+00   +3.506663e-04 -3.454329e-04 +7.626463e-03 +1.500852e-02 -9.104613e+00 +8.039504e+00 -5.489566e+04 +5.902814e+03 -7.232601e+05 -3.518400e+08 +5.221028e+10 -5.808387e+11   +5.014624e-06 -1.100475e-04 -2.996763e-03 +3.443664e-02 +1.998825e+00 +1.175422e+02 +4.041802e+03 -2.484453e+05 +2.293507e+06 -9.538316e+08 +2.864646e+10 -1.074999e+12   
BC-005   -1.000212e+00   +3.523671e-04 -2.260360e-04 +7.568664e-03 +4.070356e-02 -8.782749e+00 +9.588170e+01 -5.499000e+04 -1.141167e+05 -1.509781e+06 +3.206822e+07 +5.048087e+10 -2.338394e+12   +5.666463e-06 -1.104970e-04 -2.389231e-03 +5.677962e-02 +1.517894e+00 +5.041081e+00 +3.402936e+03 -1.680008e+05 +1.187595e+07 -5.291642e+08 -5.290029e+10 -2.738824e+12   
BC-006   -1.000247e+00   +3.515643e-04 -2.836789e-04 +7.596708e-03 +7.008659e-02 -7.545748e+00 +4.172884e+01 -5.282411e+04 -2.901250e+05 -1.079853e+07 -6.130260e+08 +7.610488e+10 -1.856551e+12   +4.862209e-06 -1.103100e-04 -2.435988e-03 +4.202111e-02 +1.902127e+00 +4.286526e+01 +2.488943e+03 -3.609919e+04 -3.866553e+06 +4.777013e+07 +3.055430e+10 +6.822736e+10   
BC-007   -1.000027e+00   +3.547664e-04 -2.964563e-04 +7.198602e-03 +6.852900e-02 -7.351773e+00 +2.867298e+01 -5.217929e+04 -9.583918e+04 +3.553954e+06 -4.873886e+08 +3.799917e+10 -1.880393e+12   +5.109737e-06 -1.149854e-04 -2.810669e-03 +3.777367e-02 +2.922061e+00 +8.412609e+01 +3.098607e+03 -3.308695e+05 +4.855206e+06 -3.521643e+07 -7.080672e+09 -2.030712e+12   
BC-008   -1.000052e+00   +3.541170e-04 -2.591287e-04 +6.316133e-03 +8.507827e-02 -8.141252e+00 +1.857094e+02 -4.724908e+04 -3.175161e+04 -1.008834e+07 -3.150891e+08 +5.734796e+10 +7.878715e+11   +5.232546e-06 -9.129028e-05 -1.539691e-03 +1.818050e-02 +3.450551e+00 +1.291509e+00 -2.967997e+02 -1.764696e+05 -1.937631e+06 +1.531888e+08 -2.336906e+10 -7.624844e+11   
BC-009   -1.000143e+00   +3.583597e-04 -2.979841e-04 +6.206871e-03 +5.414852e-02 -8.964464e+00 +6.939468e+01 -4.896791e+04 +1.731044e+05 +8.078175e+06 +3.521476e+07 +6.208925e+10 +1.412270e+12   +5.720287e-06 -1.166668e-04 -3.281639e-03 +6.866551e-02 +1.449175e+00 +3.272821e+01 +6.174932e+03 -1.928490e+05 +7.596885e+06 -3.463350e+08 +9.012543e+09 -6.261808e+11   
BC-010   -1.000111e+00   +3.596797e-04 -3.253285e-04 +6.167742e-03 +8.135791e-02 -8.248794e+00 +3.023601e+00 -5.391247e+04 +1.226442e+05 +8.528050e+04 -3.130623e+08 +2.807823e+10 -1.314237e+12   +5.056385e-06 -1.104882e-04 -2.505378e-03 +2.192526e-02 +2.082398e+00 +6.027116e+01 -5.510193e+02 -9.799336e+04 +1.239796e+05 +3.232011e+08 -2.996642e+10 -3.472958e+11   
