# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BQD-001   +3.197310e+01   +5.021058e-08 -1.655767e-02 -1.101031e-04 +7.061799e-03 +1.200232e-01 +8.204050e+02 -3.211121e+02 -2.707501e+03 +9.740291e+05 -2.181791e+09 -5.837294e+08 -8.955259e+10   +4.389993e-07 +9.902712e-06 +7.971751e-04 -6.653387e-03 +9.330193e-03 +4.223463e+00 +1.836914e+02 +3.275550e+04 +5.964714e+05 +7.637270e+07 +1.714790e+09 +9.112410e+10   
BQD-002   +3.198463e+01   +1.573411e-07 -1.654329e-02 -8.805864e-06 -2.102764e-03 +2.594207e-01 +8.243844e+02 -7.531292e+02 +1.305481e+04 +2.565576e+06 -2.204141e+09 +8.210794e+08 +4.373610e+10   +5.603863e-07 +1.582761e-05 +5.869685e-04 -4.375927e-03 -7.977310e-02 +6.862168e+00 +1.798604e+02 +2.477307e+04 +2.779252e+05 +2.515594e+07 +2.727596e+09 -3.670275e+10   
BQD-003   +2.995981e+01   -4.903089e-07 -1.655882e-02 -3.865218e-04 +1.858364e-03 +1.966034e-01 +8.245877e+02 -4.563250e+02 +5.183765e+03 +9.874348e+05 -2.200172e+09 -3.983416e+09 -1.221072e+11   +4.111528e-07 +1.933529e-05 +9.120946e-04 -3.693401e-03 -2.130492e-01 +1.185001e+01 +2.977422e+02 +4.342190e+04 -2.190583e+05 +3.419481e+07 +9.436689e+09 +2.991487e+11   
BQD-004   +3.197186e+01   +5.852775e-08 -1.654636e-02 +8.132767e-06 +2.620556e-03 +2.767001e-01 +8.240384e+02 -7.270956e+02 +2.804768e+04 +5.063396e+05 -2.171552e+09 -2.552695e+09 +1.045455e+10   +1.468312e-07 +1.393562e-05 +6.029346e-04 -4.535848e-03 +2.309857e-01 +7.523344e+00 +1.498772e+02 +4.933995e+04 +1.549897e+06 +1.142224e+08 -3.609449e+08 +3.643210e+10   
BQD-005   +3.196949e+01   +2.360952e-07 -1.654683e-02 -5.297964e-05 -5.441898e-03 +1.468908e-01 +8.208004e+02 -4.055291e+02 +2.624722e+04 +5.576226e+05 -2.221514e+09 -9.292798e+08 +1.717059e+11   +8.812618e-07 +1.590484e-05 +4.711961e-04 -8.372980e-03 -7.730783e-02 +7.019777e+00 -1.651024e+02 +1.030606e+04 +5.196692e+05 +1.150591e+08 +5.436083e+09 -1.446927e+11   
BQD-006   +3.197881e+01   -1.013920e-07 -1.660639e-02 -1.295046e-04 +1.602152e-03 +2.099973e-01 +8.278166e+02 -5.098323e+02 +2.972565e+04 +1.479673e+06 -2.210741e+09 -4.717005e+09 -1.529060e+09   +4.239013e-07 +1.339702e-05 +1.054120e-03 -5.614349e-03 -3.154933e-01 +8.237333e+00 -1.136931e+01 +2.421444e+04 +1.888351e+06 +5.763104e+07 +4.636329e+09 +1.434186e+11   
BQD-007   +3.196622e+01   +2.271144e-07 -1.657700e-02 -1.773055e-04 -2.930594e-03 +4.823254e-02 +8.250566e+02 -2.890059e+02 +1.443611e+04 +1.213698e+06 -2.105317e+09 -2.387177e+09 -5.654779e+10   +7.493936e-07 +1.211495e-05 +6.708256e-04 -3.617319e-03 -1.856464e-01 +6.094052e+00 +9.474070e+01 +1.327889e+04 +8.653535e+05 +7.803516e+07 +5.849318e+09 -7.404673e+10   
BQD-008   +3.196964e+01   +5.433371e-07 -1.657469e-02 +2.412825e-05 -5.804892e-04 +1.383682e-01 +8.249693e+02 -3.468688e+02 +1.620403e+04 +1.434782e+06 -2.148987e+09 +1.327328e+09 +1.101951e+11   +6.733351e-07 +5.830156e-06 +7.967562e-04 -3.605283e-03 -1.545326e-01 +1.679973e+01 +1.509355e+02 +4.545416e+04 +1.370873e+06 +1.688770e+08 +5.151609e+09 +2.064112e+11   
BQD-009   +3.196907e+01   +7.175126e-09 -1.656526e-02 -6.478312e-05 +2.660293e-04 +1.446541e-01 +8.267310e+02 -3.794993e+02 -3.274797e+03 +1.512714e+05 -2.187481e+09 -1.932622e+09 -2.368852e+10   +6.126196e-07 +7.434611e-06 +6.978373e-04 -4.110307e-03 -2.285816e-01 +8.484360e+00 +1.738648e+01 +4.077535e+04 +6.723871e+05 +1.010592e+08 +4.804713e+09 +1.255581e+11   
BQD-010   +3.196407e+01   -8.956125e-08 -1.657305e-02 -2.170116e-04 +5.956651e-03 +1.843499e-01 +8.218894e+02 -3.324786e+02 -2.545951e+03 +1.025967e+06 -2.178413e+09 -1.387051e+09 -1.316151e+11   +7.483994e-07 +1.833372e-05 +4.644111e-04 -5.718580e-03 -3.130778e-02 +5.459677e+00 +1.269357e+02 +4.116187e+04 +4.262351e+05 +1.492676e+07 +2.545950e+09 +1.399489e+11   
