# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BQF-006   +4.999471e+01   -1.119747e-06 -3.770453e-02 -3.499930e-04 +2.524675e-02 -9.104729e-02 +4.872954e+02 -6.880464e+02 +1.786393e+04 -9.057210e+05 -4.774595e+09 +1.964228e+09 +1.153364e+11   +1.178772e-06 +3.261379e-05 +1.035929e-03 -8.815609e-03 +1.903914e-01 +5.564727e+00 +1.005219e+03 +7.324205e+04 -6.719789e+05 +2.417590e+06 +8.249613e+09 +1.075809e+11   
BQF-007   +4.998827e+01   -5.437454e-07 -3.770859e-02 -1.173294e-04 +1.131190e-02 +6.694719e-02 +4.776024e+02 -7.175197e+02 +2.503503e+04 +1.140997e+05 -4.913839e+09 +5.460941e+09 -1.604551e+11   +1.303903e-06 +3.970267e-05 +1.698694e-03 -1.249280e-02 -6.228689e-01 -9.929587e+00 -1.848043e+01 +3.992307e+04 -1.378846e+06 -1.746180e+08 +1.159758e+10 +5.602904e+10   
BQF-009   +5.000999e+01   -5.236520e-07 -3.774240e-02 +2.246125e-04 +1.446358e-02 +1.750431e-01 +4.679151e+02 -3.691850e+02 +2.728729e+04 +3.963658e+05 -4.848683e+09 +9.138628e+09 +1.206392e+11   +6.662429e-07 +3.494560e-05 +1.427301e-03 -1.397367e-02 -8.242685e-02 -4.038719e+00 +3.826385e+02 +7.013355e+04 -1.317411e+06 -3.395330e+07 +5.979919e+09 +1.134546e+10   
BQF-010   +4.999966e+01   -4.865519e-06 -3.772518e-02 +1.803471e-04 +1.501222e-02 +3.654323e-01 +4.547057e+02 -9.568129e+02 +2.527753e+04 -2.839617e+06 -4.877685e+09 +1.962498e+09 +3.353755e+11   -2.745615e-06 +1.815710e-05 +1.772435e-03 -1.496132e-02 -2.320276e-02 +2.488263e+01 +1.686009e+02 +3.834876e+04 -5.062854e+06 -1.386346e+08 -3.324437e+09 +1.522760e+10   
BQF-011   +5.000460e+01   -4.989721e-08 -3.772781e-02 +1.326477e-04 -1.793158e-02 +3.900345e-01 +4.768671e+02 -1.607420e+03 +6.487221e+04 +3.434810e+06 -4.791343e+09 -5.666763e+09 +6.058903e+10   +4.025686e-07 +3.586602e-05 +1.455176e-03 -1.177504e-02 -2.276849e-01 +8.138421e+00 -3.212362e+02 +2.141783e+04 -1.971541e+06 +1.309596e+08 +2.574343e+09 -1.622472e+11   
BQF-012   +5.000409e+01   -8.164076e-07 -3.775239e-02 -2.945493e-04 +6.475276e-03 +3.344924e-02 +4.884738e+02 -1.209816e+03 +2.765286e+04 +1.966903e+06 -4.796456e+09 -2.534521e+09 +2.059096e+11   +1.696559e-06 +4.416347e-05 +3.456917e-04 -1.643604e-02 +9.066724e-01 +4.429266e+00 +7.437552e+02 +7.411502e+04 +1.521854e+05 +1.461958e+08 +3.868396e+09 +1.760857e+11   
BQF-013   +5.000489e+01   +4.372120e-09 -3.773799e-02 +1.029428e-03 -4.813787e-03 +6.433909e-01 +4.729525e+02 -1.635603e+03 +1.776128e+04 +2.026370e+06 -4.810242e+09 -5.055884e+09 -4.918435e+11   +1.015517e-06 +3.750411e-05 +1.627364e-03 -2.260457e-02 -3.000861e-01 +1.091694e+01 +1.572567e+02 +3.996157e+04 -8.844191e+05 +1.763180e+08 +9.317621e+09 -2.501305e+11   
BQF-014   +5.000258e+01   -4.606916e-07 -3.770295e-02 +3.932787e-04 -3.956042e-03 +4.890894e-01 +4.828373e+02 -1.063823e+03 +3.078125e+04 +2.959345e+06 -4.856607e+09 -1.169621e+09 -1.668480e+11   +7.470946e-07 +3.088185e-05 +1.516057e-03 -8.961882e-03 -5.237488e-01 -5.339984e+00 -2.245928e+02 +1.120956e+04 -3.454644e+06 -4.114006e+07 -5.479041e+08 -6.660832e+10   
BQF-015   +4.999270e+01   -2.006263e-07 -3.770366e-02 +5.596853e-04 +1.803120e-02 +4.040454e-01 +4.658386e+02 -1.297890e+03 +5.093982e+04 +1.745968e+06 -4.939709e+09 -8.965911e+08 +1.262483e+11   +9.264933e-07 +3.623477e-05 +1.060544e-03 -1.414675e-02 +2.079376e-02 -5.868865e+00 -1.163085e+03 +1.274485e+04 -8.612031e+05 -6.475209e+07 -8.020933e+09 -4.779926e+11   
BQF-016   +5.001161e+01   +4.278724e-07 -3.773130e-02 +1.256668e-04 -5.178436e-04 +1.021936e-01 +4.594803e+02 -1.519269e+03 +2.915511e+04 +2.829015e+06 -4.798002e+09 -1.073989e+10 +2.854083e+11   +1.604475e-06 +2.464388e-05 +1.654018e-03 -3.200353e-03 -4.564136e-01 +2.348269e+00 -1.034472e+02 +1.798806e+04 +1.560761e+06 -1.005780e+07 +6.914470e+09 -2.518805e+11   
