# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BS-007   +2.017334e+00   +3.557032e-08 -7.407197e-06 -2.180024e-01 +7.259775e-04 -3.901403e+00 -9.213710e+00 +1.053363e+03 -2.818914e+04 +1.569422e+08 -5.357616e+07 +6.714966e+09 -3.545615e+11   +1.631832e-06 +5.141672e-06 +3.152752e-04 +4.918568e-02 +3.051603e-01 -2.114698e+01 +6.163992e+02 -6.642970e+04 -1.226688e+05 -1.203945e+08 -5.434147e+09 -2.917665e+11   
BS-008   +1.961488e+00   -1.648459e-07 -8.399027e-06 -2.188832e-01 +2.197949e-02 -4.550549e+00 +4.982266e+00 +1.384743e+03 +5.999619e+04 +1.584083e+08 -2.618056e+07 +7.061527e+09 -1.169469e+11   +1.984756e-06 +1.097448e-05 +4.481546e-04 +4.000965e-02 +6.007113e-01 -2.335468e+01 +1.141702e+03 -5.845266e+04 -8.841655e+05 -1.379493e+08 -7.172682e+08 +1.458202e+11   
BS-009   +1.960265e+00   +7.183769e-07 -1.731654e-05 -2.043894e-01 +5.477448e-03 -1.890725e+00 -3.443529e+00 +1.468866e+03 +4.790842e+04 +1.477319e+08 +4.049211e+06 +6.135584e+09 +6.242865e+10   +2.179140e-06 +2.321532e-05 +4.477416e-04 +1.111247e-02 -8.006652e-02 -3.525851e+01 +4.151522e+02 -4.241201e+04 -1.811751e+06 -7.826416e+06 -5.742938e+08 +4.551553e+11   
BS-010   +1.967974e+00   +1.618526e-08 -5.755167e-06 -2.171047e-01 -8.155296e-03 -3.896011e+00 -3.199483e+00 +1.591526e+03 -1.162708e+04 +1.564969e+08 -7.003238e+07 +7.957854e+09 +4.554412e+10   +2.034701e-06 +1.437385e-05 -8.572949e-04 +4.894063e-02 +1.030553e+00 -1.855365e+01 +8.110661e+02 -7.432039e+04 +8.409405e+05 -5.831637e+07 -5.267925e+08 +4.190777e+11   
BS-011   +2.009448e+00   -1.305814e-07 -6.040261e-06 -2.178963e-01 -2.784162e-03 -4.589315e+00 -1.030119e+01 +1.257785e+03 -1.426317e+04 +1.579865e+08 +6.043391e+07 +8.168656e+09 +8.066364e+10   +1.254445e-06 +1.388713e-05 +9.407534e-04 +3.457749e-02 +1.945117e+00 -2.371614e+01 +3.440673e+02 -6.158388e+04 -8.946691e+05 -1.774751e+08 -3.900015e+09 -2.876735e+10   
BS-012   +2.013695e+00   +6.674144e-07 +2.646046e-05 -1.826768e-01 +5.317712e-02 -2.017286e+00 -4.494436e+00 +8.746469e+02 +1.071077e+04 +1.363037e+08 -8.379745e+07 +3.348755e+09 +8.368546e+09   +2.204796e-06 +1.053604e-05 +9.066790e-05 +3.421552e-02 -1.873224e-01 -1.142377e+01 -6.137141e+01 -8.014238e+04 +2.102014e+06 -1.604152e+08 -1.558795e+08 +1.376951e+11   
BS-013   +2.014037e+00   -3.446538e-07 +2.206769e-05 -2.214225e-01 +5.292162e-02 -5.086828e+00 -1.104754e+01 +1.969548e+03 +4.236557e+03 +1.602930e+08 -1.340218e+08 +1.075797e+10 +4.686235e+10   +2.199041e-06 -3.706173e-05 +1.468195e-04 +1.202596e-01 -1.569382e-01 +1.067896e+01 -1.402788e+02 -5.035131e+04 +1.967881e+06 -2.108983e+08 +7.059190e+09 -3.132885e+11   
BS-014   +2.012108e+00   -3.637705e-07 +2.635792e-05 -2.181524e-01 +6.359838e-02 -4.218332e+00 +1.445011e+00 +1.794924e+03 -1.578252e+04 +1.568313e+08 -1.736461e+08 +1.239473e+10 -4.942489e+10   +2.184734e-06 -6.055028e-06 +1.260151e-04 +6.735682e-02 +3.576939e-02 -2.444204e+01 -5.574651e+02 -7.441728e+04 +3.785780e+05 -1.832090e+08 +9.634413e+09 -2.524543e+11   
BS-015   +2.014520e+00   -3.839630e-08 +1.917247e-05 -2.151832e-01 +3.659866e-02 -3.861633e+00 -6.802221e+00 +8.065023e+02 -1.453862e+04 +1.571047e+08 -7.216642e+07 +7.645479e+09 -1.349864e+11   +1.531521e-06 +3.429105e-05 +8.265205e-05 -1.708322e-02 +1.047971e+00 -3.296634e+01 -4.069762e+02 -3.201768e+04 +7.736285e+05 -4.275325e+07 +1.217116e+09 +2.073677e+11   
BS-016   +2.011238e+00   -6.538480e-08 +2.081978e-05 -2.177470e-01 +5.350212e-02 -3.817021e+00 -5.246212e+00 +1.171356e+03 +5.003485e+03 +1.572071e+08 -1.561003e+08 +6.666809e+09 +3.143002e+10   +2.046874e-06 +3.802035e-06 +2.346930e-04 +5.603787e-02 +9.657216e-02 -2.320240e+01 +5.244432e+02 -8.041689e+04 +3.743737e+05 -1.627368e+08 -5.092789e+09 -1.734265e+11   
BS-017   +2.007176e+00   -4.187864e-07 +1.697757e-05 -2.183628e-01 +6.142007e-02 -4.140054e+00 -6.304838e+00 +1.176394e+03 +3.939204e+04 +1.581334e+08 -9.932896e+07 +6.339828e+09 +9.051005e+09   +2.475056e-06 +2.163010e-05 -1.692749e-04 +1.133413e-02 -8.766715e-01 -2.170740e+01 -3.397986e+02 -7.221953e+04 +5.111460e+05 -1.349036e+08 -4.528061e+09 +2.184588e+10   
BS-018   +2.011214e+00   +4.332015e-07 +2.440485e-05 -2.168300e-01 +4.729804e-02 -3.808741e+00 -7.290766e+00 +1.725029e+03 -3.329311e+04 +1.569853e+08 -2.797895e+08 +8.978522e+09 +4.196692e+10   +2.267032e-06 +3.271270e-05 +2.179271e-04 +3.307396e-03 +2.850894e-01 -2.211312e+01 +5.325306e+02 -1.040663e+05 -2.195437e+05 -6.077389e+07 -5.043859e+09 -1.124443e+11   
BS-019   +2.015051e+00   +4.531694e-09 +2.942346e-05 -2.186597e-01 +6.550112e-02 -3.731901e+00 -1.269188e+01 +1.466418e+03 -1.090992e+04 +1.576014e+08 -1.669937e+08 +5.128907e+09 +3.975665e+09   +1.878404e-06 +7.628308e-08 +2.348722e-04 +5.858254e-02 +1.799804e-01 -1.960223e+01 +4.778852e+02 -7.429648e+04 +1.646170e+06 -1.439748e+08 +1.434069e+09 +7.359511e+09   
BS-020   +2.016471e+00   +1.231750e-09 +2.282408e-05 -2.177904e-01 +5.377142e-02 -3.903726e+00 -3.525834e+00 +1.422645e+03 +4.319646e+02 +1.581621e+08 -1.676432e+08 +9.846598e+09 -2.741697e+11   +1.859106e-06 +2.390226e-05 +5.460808e-04 +5.027764e-03 +2.442701e-01 -1.328909e+01 -2.781100e+02 -7.031740e+04 -1.349038e+05 -1.972274e+08 -2.743357e+09 -1.848429e+11   
BS-021   +2.016860e+00   -3.229057e-07 +3.001923e-05 -2.193103e-01 +7.144041e-02 -4.500599e+00 -2.262547e+00 +1.628730e+03 +9.995696e+03 +1.589336e+08 -1.502828e+08 +9.494918e+09 -4.565716e+10   +1.893041e-06 -2.690851e-06 +3.137255e-04 +6.691129e-02 +3.256310e-01 -1.553359e+01 +5.349439e+02 -6.768268e+04 +4.648718e+05 -1.380157e+08 +2.263210e+09 +1.008742e+11   
BS-022   +2.015915e+00   +3.891555e-08 +1.578881e-05 -2.188078e-01 +2.387978e-02 -4.138782e+00 +1.766441e-01 +1.693936e+03 -5.651513e+04 +1.577622e+08 -1.718628e+08 +1.043606e+10 -1.882403e+11   +2.598584e-06 -1.181404e-05 +4.675663e-04 +7.940990e-02 -1.441049e+00 -1.218943e+01 +9.477761e+02 -6.549527e+04 -9.535620e+05 -2.187732e+08 +7.261963e+08 -3.713933e+11   
BS-023   +2.007455e+00   -1.181259e-07 +1.565099e-05 -2.218338e-01 +3.282771e-02 -4.664683e+00 -1.001369e+01 +1.523010e+03 -1.147607e+04 +1.598957e+08 -7.006767e+07 +1.053916e+10 -1.495473e+11   +1.759901e-06 -1.038664e-05 +2.528747e-04 +5.504069e-02 +9.914020e-02 -5.830487e+00 -1.861210e+02 -2.200549e+04 +1.260065e+06 -1.636522e+08 -6.140456e+08 -4.312064e+11   
BS-024   +2.014055e+00   +5.950667e-07 -7.467482e-06 -2.182252e-01 +3.138370e-02 -3.681190e+00 -3.058367e-01 +8.628801e+02 +4.694879e+04 +1.564037e+08 -7.414981e+07 +9.318906e+09 +5.763730e+10   +1.051668e-06 +9.255914e-06 +9.771923e-04 +4.049605e-02 +3.170284e+00 -3.654652e+01 -1.003602e+02 -8.373038e+04 -1.151382e+06 -1.146814e+08 -1.338157e+10 -1.997559e+11   
BS-025   +2.005496e+00   -2.150199e-07 +2.646323e-05 -2.178253e-01 +6.533501e-02 -4.547057e+00 -2.901478e+00 +1.454752e+03 -1.063100e+03 +1.562059e+08 -4.660663e+07 +1.015310e+10 -1.490151e+11   +2.052680e-06 +2.156316e-05 -6.890201e-05 +1.407739e-02 -8.793859e-02 -2.241727e+01 -6.186849e+01 -5.945482e+04 +8.022175e+05 -1.328454e+08 -2.117079e+09 +4.416530e+10   
BS-026   +2.015077e+00   -1.911222e-07 +1.349487e-05 -2.173378e-01 +2.870360e-02 -4.043707e+00 -8.837365e+00 +1.924397e+03 -3.132119e+04 +1.575785e+08 -1.860746e+08 +1.119717e+10 -1.296959e+11   +2.516451e-06 -1.085530e-05 +5.463712e-05 +6.387577e-02 -1.364316e+00 -2.711061e+01 -2.748919e+01 -5.463355e+04 +1.152598e+06 -1.626103e+08 +6.898873e+09 -1.926464e+11   
BS-027   +2.000143e+00   +1.801364e-07 +2.884151e-05 -2.189828e-01 +6.006946e-02 -2.942740e+00 -3.240123e+00 +1.609895e+03 -6.584004e+03 +1.574013e+08 -1.605425e+08 +7.969975e+09 -1.634269e+11   +2.065229e-06 +3.406944e-05 +1.940201e-04 -1.320896e-02 +4.211841e-03 -2.176372e+01 +4.225156e+01 -5.698218e+04 +5.315230e+05 -6.577090e+07 +1.316222e+08 +2.039031e+10   
BS-028   +2.008140e+00   +9.583754e-09 +2.622212e-05 -2.177023e-01 +6.070807e-02 -3.625294e+00 -3.094417e+00 +1.515044e+03 -8.918771e+03 +1.566092e+08 -1.623973e+08 +1.002251e+10 -2.844370e+10   +2.114844e-06 +9.746208e-07 +7.479713e-05 +4.311357e-02 -1.419943e-01 -2.359890e+01 -2.202661e+02 -4.560614e+04 +2.546638e+05 -1.703562e+08 -2.632315e+09 -2.463064e+11   
BS-029   +2.009298e+00   +2.949580e-08 +4.265312e-05 -2.198809e-01 +4.555024e-02 -3.658406e+00 -1.242526e+01 +2.277622e+03 -8.128177e+04 +1.589406e+08 -1.356172e+08 +1.018765e+10 +2.636267e+10   +2.149761e-06 -2.698485e-05 -1.229696e-04 +1.100970e-01 -3.471505e-01 -1.463921e+01 -4.551271e+02 -8.126828e+04 +3.219822e+06 -1.877514e+08 +2.530434e+09 -1.070043e+11   
BS-030   +2.014011e+00   -1.178032e-07 +3.091078e-05 -2.190599e-01 +5.880534e-02 -4.103217e+00 -7.652605e+00 +1.238469e+03 -2.839965e+04 +1.580094e+08 -1.711150e+08 +1.099845e+10 -1.121156e+11   +2.193668e-06 -2.734019e-05 +1.219830e-04 +1.034733e-01 -4.615328e-01 -1.955344e+01 +2.331382e+02 -9.396408e+04 -1.991952e+05 -2.585174e+08 -4.922611e+08 -1.032712e+11   
BS-031   +1.995301e+00   -1.835607e-07 +3.172765e-05 -2.191215e-01 +5.671420e-02 -4.406804e+00 +1.192749e-01 +1.266498e+03 -3.561083e+04 +1.581623e+08 -1.337834e+08 +9.483983e+09 -4.871682e+11   +2.085917e-06 +6.616856e-07 -1.249093e-04 +4.347928e-02 -3.098834e-02 -2.055686e+01 -6.048742e+02 -6.267506e+04 +1.432328e+06 -2.165835e+08 -1.346250e+09 +2.104056e+10   
