# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-042   -7.000246e+00   +3.410664e-04 -2.042257e-05 +2.980600e-03 +1.662936e-02 -7.975693e+00 +1.658442e+02 -4.877784e+04 -1.426952e+04 +3.784451e+06 -3.625268e+08 +6.425761e+10 -1.513361e+11   +1.078916e-06 -2.699307e-05 -4.912395e-04 +1.353154e-02 +3.523688e-01 +2.586538e+00 -1.209283e+02 -4.264444e+04 +1.737522e+06 +2.271110e+06 -1.936198e+09 -3.653753e+11   
BC-063   -7.000962e+00   +3.412038e-04 +1.763442e-05 +2.975060e-03 +1.346357e-02 -7.666801e+00 +1.225679e+02 -4.824574e+04 +1.439905e+04 +2.864856e+06 -2.977992e+08 +6.327122e+10 -2.193837e+11   +7.105065e-07 -9.817729e-06 +1.437014e-04 +3.717068e-03 +2.683814e-01 -1.612448e+01 -5.658010e+02 -8.600789e+03 -3.401480e+06 -3.345175e+07 -2.668578e+09 -1.594099e+11   
BC-065   -7.000019e+00   +3.414632e-04 +2.032656e-05 +2.907745e-03 +1.171185e-02 -7.943877e+00 +1.414030e+02 -4.830873e+04 +5.876747e+03 -8.140361e+04 -2.723141e+08 +6.398313e+10 +6.889274e+10   +9.010080e-07 -1.068331e-05 +1.404333e-04 +5.100703e-03 +1.364797e-01 -5.537515e+00 -1.090922e+02 -1.474030e+04 +3.706411e+05 +5.557058e+07 +3.631574e+09 +1.490390e+11   
BC-066   -7.000180e+00   +3.416329e-04 +1.629225e-05 +2.986592e-03 +9.426943e-03 -7.932145e+00 +1.366771e+02 -4.808433e+04 -1.801285e+03 +1.587323e+06 -3.070242e+08 +6.114713e+10 -9.230516e+10   +1.034877e-06 -3.201939e-06 +1.583328e-04 -1.057854e-03 +3.925153e-01 -1.795194e+01 -1.027143e+02 +1.885200e+04 -2.190311e+06 -2.827002e+07 -2.772157e+09 -4.082106e+11   
BC-068   -6.999258e+00   +3.414728e-04 +2.139131e-05 +2.946558e-03 +9.011187e-03 -8.188908e+00 +1.199332e+02 -5.002490e+04 +3.779133e+03 +4.921942e+05 -1.420644e+08 +7.219508e+10 +5.315159e+10   +5.016087e-07 -7.505663e-06 +1.622369e-04 +5.243462e-03 +2.881155e-01 -6.983252e+00 +7.563652e+02 +1.405832e+04 +3.185696e+05 +4.103642e+07 -1.669085e+10 +8.164073e+10   
BC-069   -6.999852e+00   +3.416664e-04 +2.781456e-05 +2.847470e-03 +8.073309e-03 -8.018701e+00 +1.206035e+02 -4.835182e+04 -1.766800e+04 +5.886129e+05 -2.662991e+08 +6.123922e+10 +1.292795e+11   +7.103526e-07 -4.722890e-06 +1.222106e-04 +3.467486e-03 +3.102954e-01 +9.991593e-01 -6.624523e+01 -1.520996e+04 +9.774082e+05 -1.450452e+07 +2.079233e+09 +7.404502e+10   
BC-070   -7.000256e+00   +3.413001e-04 +1.823805e-05 +2.849127e-03 +9.592912e-03 -7.946497e+00 +1.207707e+02 -4.779498e+04 -1.456660e+04 +8.013178e+05 -2.052049e+08 +6.392395e+10 +1.567600e+11   +9.741268e-07 -5.446082e-07 +1.534997e-04 +3.541199e-03 +2.841385e-01 -4.547842e+00 -5.755131e+02 +7.607349e+03 +1.294412e+06 +5.339425e+07 -1.240803e+09 -1.209163e+11   
BC-071   -6.999340e+00   +3.419295e-04 +1.511755e-05 +2.965791e-03 +1.242454e-02 -8.036383e+00 +1.562483e+02 -4.796362e+04 -8.145162e+03 +6.988459e+05 -3.164716e+08 +5.979459e+10 +1.868809e+11   +1.017489e-06 -7.876790e-06 +8.784507e-05 +3.534758e-03 +1.829224e-01 -6.079157e+00 -2.369103e+02 +8.762929e+03 -2.972223e+03 -1.813812e+07 +1.928693e+09 +6.828644e+10   
BC-072   -6.999877e+00   +3.418349e-04 +1.621058e-05 +2.970301e-03 +7.257119e-03 -7.888260e+00 +1.250318e+02 -4.847502e+04 -3.716221e+03 +2.463276e+05 -3.275162e+08 +6.233464e+10 +2.182901e+10   +6.583473e-07 -8.537650e-06 +8.450156e-05 +7.054397e-04 +2.006042e-01 -1.722147e+01 -6.788565e+02 -3.898981e+03 +4.415966e+05 -1.309931e+07 +9.557394e+08 -1.601250e+11   
BC-073   -6.999861e+00   +3.413449e-04 +1.433688e-05 +2.916156e-03 +7.495313e-03 -7.894212e+00 +1.289182e+02 -4.819234e+04 -7.477708e+03 -3.661570e+05 -2.778657e+08 +6.421950e+10 +2.081680e+10   +8.292728e-07 -3.777122e-06 +2.813122e-05 +3.526134e-03 +2.847122e-01 -4.808815e+00 -3.487015e+02 -7.715639e+03 +2.694825e+05 +1.337665e+07 -2.494848e+08 -2.189268e+10   
BC-074   -6.999771e+00   +3.415807e-04 +1.362941e-05 +2.881120e-03 +1.317829e-02 -7.999260e+00 +1.508685e+02 -4.832234e+04 -3.969547e+03 +3.558264e+05 -3.377510e+08 +6.250716e+10 +1.479213e+11   +7.934154e-07 -3.773182e-06 +1.251626e-04 +1.745477e-03 +1.823111e-01 -4.218169e+00 -2.864604e+02 -2.301412e+03 -6.531602e+05 -2.082462e+07 -1.007943e+09 -1.088578e+11   
BC-075   -7.000221e+00   +3.412491e-04 +1.790363e-05 +2.955444e-03 +8.397349e-03 -7.945569e+00 +1.539357e+02 -4.850873e+04 -7.358172e+03 +7.698307e+05 -3.014892e+08 +5.985795e+10 +8.134789e+10   +8.822347e-07 -4.635876e-06 +1.521525e-04 +2.511581e-03 +8.043530e-02 +1.503571e+00 -5.202579e+02 +5.068303e+03 -4.424615e+05 -1.269253e+07 +3.507211e+08 -6.127914e+10   
BC-076   -6.999664e+00   +3.415904e-04 +1.547537e-05 +2.958991e-03 +9.638311e-03 -8.023749e+00 +1.302571e+02 -4.841321e+04 -1.386631e+04 +4.371333e+05 -3.016418e+08 +6.129351e+10 +2.188165e+11   +6.935863e-07 -5.383437e-06 +4.399188e-05 +1.886986e-03 +1.558963e-03 -7.163487e+00 -5.199975e+02 -1.297404e+04 -1.336015e+06 -3.080966e+07 +4.867286e+08 -2.871158e+11   
BC-077   -7.000043e+00   +3.417995e-04 +1.663645e-05 +3.021957e-03 +1.199650e-02 -8.040748e+00 +1.445450e+02 -4.837865e+04 +1.723702e+03 -2.421987e+05 -3.065487e+08 +6.409402e+10 +7.703544e+10   +1.023297e-06 -7.219177e-06 +1.130767e-04 +2.546456e-03 +9.095151e-02 -1.081603e+01 -3.919223e+02 -4.711215e+03 +3.815192e+04 +3.836645e+07 -7.531461e+08 +1.002889e+11   
BC-079   -6.999623e+00   +3.419673e-04 +1.580231e-05 +2.803124e-03 +7.569382e-03 -8.021513e+00 +1.276136e+02 -4.824278e+04 -4.735544e+03 -1.756107e+04 -2.802995e+08 +6.045484e+10 +2.289713e+11   +8.107878e-07 -5.445540e-06 +1.128973e-04 +3.929916e-03 +1.487553e-01 -1.672150e+00 -2.812864e+02 +9.748292e+03 -1.223402e+06 -3.697682e+07 -2.476812e+09 -6.517294e+10   
BC-080   -6.999869e+00   +3.418720e-04 +1.634816e-05 +2.973246e-03 +1.262476e-02 -7.967211e+00 +1.504142e+02 -4.871100e+04 -5.149801e+03 -2.084819e+04 -3.427191e+08 +6.406961e+10 +2.200940e+11   +8.637550e-07 -9.274149e-06 +1.314613e-04 +2.647668e-03 +1.080927e-01 -1.063008e+01 -1.065399e+02 +4.419438e+03 -4.846674e+05 -2.700059e+07 +8.954680e+08 -6.818005e+10   
BC-081   -7.000507e+00   +3.417625e-04 +1.204944e-05 +2.856542e-03 +7.572696e-03 -8.039048e+00 +1.425582e+02 -4.861766e+04 +1.541881e+04 -5.224207e+05 -3.004144e+08 +5.962825e+10 +2.132823e+11   +7.033019e-07 -6.425173e-06 +5.402550e-05 +2.863034e-03 +2.311917e-01 -4.930524e+00 -1.701270e+02 +7.434886e+03 -6.748480e+05 +3.388612e+07 -1.779317e+09 -1.093527e+11   
BC-082   -7.000024e+00   +3.406704e-04 +1.168954e-05 +2.820922e-03 +1.712877e-02 -7.927100e+00 +1.513973e+02 -4.858775e+04 -2.175068e+04 -3.830087e+05 -4.860056e+08 +5.832950e+10 +5.337825e+10   +9.258087e-07 -1.012853e-05 +1.002028e-04 +3.895342e-04 +6.184703e-02 -1.747184e+01 -8.904357e+02 +4.711637e+03 -2.710466e+06 -5.043891e+07 +7.534154e+09 -2.685824e+11   
BC-083   -7.000111e+00   +3.425950e-04 +1.675731e-05 +3.080827e-03 +5.794882e-03 -7.872788e+00 +1.245661e+02 -4.869781e+04 -3.942396e+03 -4.289669e+05 -2.479019e+08 +6.449968e+10 +7.801283e+10   +7.273999e-07 -5.111738e-06 +5.441807e-05 +2.538665e-04 +7.384174e-02 -1.071297e+01 -2.783180e+02 +7.910073e+03 -3.236724e+05 -7.231378e+07 -2.196918e+09 -2.541688e+11   
BC-084   -6.999670e+00   +3.423326e-04 +1.796276e-05 +2.985856e-03 +1.141616e-02 -8.086847e+00 +1.569151e+02 -4.847391e+04 -2.899114e+03 +3.850669e+05 -3.946073e+08 +6.211349e+10 +1.482211e+11   +1.121171e-06 -7.324238e-06 +1.039823e-04 +3.930755e-03 +2.586123e-01 +6.861879e-01 -3.968320e+02 +7.242620e+03 +2.367567e+05 +1.125072e+07 +3.021360e+09 +9.618295e+10   
