# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q30-004   +3.998000e+00   +2.365990e-06 -9.885160e-02 +2.126970e-03 -1.203590e-01 +9.250885e-01 +4.636301e+03 -7.528992e+03 +1.076007e+05 +1.525901e+08 -4.062504e+11 -1.274124e+11 -1.612556e+13 -2.568399e+15 +8.106818e+18 +2.032571e+19   +1.180562e-08 +4.486171e-05 -6.843304e-04 +6.197954e-02 +7.890045e-01 -4.576026e+02 -3.042036e+03 +2.016677e+05 -2.281303e+07 +1.490134e+10 +1.674726e+11 -8.300688e+12 -2.452972e+15 -4.216416e+17 +1.393271e+18   
Q30-005   +3.998000e+00   +3.043452e-07 -9.878237e-02 -3.647029e-03 -5.741351e-02 -1.212804e+00 +4.685970e+03 +3.414052e+02 -5.232544e+05 +2.146124e+07 -3.999527e+11 -1.357549e+11 -4.484797e+13 +8.889102e+14 +8.144880e+18 -2.478520e+18   +5.968004e-07 +4.335608e-05 -2.329961e-03 -1.448748e-02 +2.277489e+00 -7.509447e+02 +3.678542e+03 +1.066436e+05 +2.086505e+07 +2.004055e+10 -2.401515e+11 -2.425433e+13 +2.741683e+15 -6.370320e+17 +1.520186e+19   
Q30-006   +3.998000e+00   +3.045140e-07 -9.862536e-02 -2.444342e-03 -3.570218e-02 +2.289999e+00 +4.590068e+03 +1.681669e+04 +7.421201e+05 +2.329752e+08 -4.081833e+11 +2.840235e+11 +5.005525e+13 +6.695620e+15 +8.154375e+18 +4.536598e+19   -1.286269e-06 +1.754412e-05 +9.089250e-04 +2.794725e-02 +1.233742e+00 -4.628684e+02 -8.651543e+03 +1.178033e+06 +1.422153e+07 +3.826881e+09 -3.392119e+11 -1.189253e+13 +2.478184e+15 -2.191694e+17 +1.296003e+19   
Q30-007   +3.998000e+00   +5.495945e-07 -9.946321e-02 -1.657391e-03 -7.169022e-02 -4.788534e+00 +4.865150e+03 +7.286668e+03 +1.281763e+05 +1.009005e+07 -4.067969e+11 -1.573474e+10 -1.085273e+13 +1.305652e+15 +8.132666e+18 -3.065260e+18   -4.932014e-07 +4.724900e-05 +1.416706e-03 +2.875930e-02 +2.870983e+00 -5.995148e+02 -8.452651e+03 -2.470795e+05 -4.399520e+07 +1.661699e+10 +2.819342e+11 -8.889762e+12 +1.934489e+15 -3.369302e+17 +7.302674e+18   
Q30-008   +3.998250e+00   -4.660717e-07 -9.879407e-02 -5.931630e-03 -6.848844e-02 -4.978833e+00 +4.789410e+03 +8.628547e+03 -1.679643e+05 -8.149183e+06 -4.042131e+11 -4.966290e+11 -1.204736e+13 -1.641223e+14 +8.025569e+18 +1.287985e+18   +6.799945e-07 +4.494549e-05 -2.458626e-03 +1.054508e-01 +8.228027e-01 -2.800783e+02 +8.757639e+03 -3.146079e+05 +3.833107e+07 +8.055554e+09 -2.722193e+11 +1.125231e+12 +1.988386e+15 +1.159249e+17 -5.644487e+18   
Q30-009   +3.997400e+00   +3.932031e-07 -9.913341e-02 -8.083572e-03 -4.422299e-02 -9.430913e+00 +4.762626e+03 +1.870219e+04 +4.636681e+05 +8.904013e+07 -4.056677e+11 -3.260744e+11 +8.064892e+12 -2.008632e+15 +8.062351e+18 +1.101342e+19   +1.099374e-06 +5.900230e-05 -5.915443e-03 +4.848374e-02 +5.475742e+00 -5.121439e+02 +1.253143e+04 -1.409771e+05 -3.051158e+07 +1.118144e+10 -3.700918e+11 -3.995597e+13 -1.983305e+14 -3.009731e+17 +5.249047e+18   
Q30-010   +3.997900e+00   +7.302344e-07 -9.955989e-02 -3.325303e-03 +4.388617e-02 -7.509160e+00 +4.906496e+03 +3.498097e+03 -4.663716e+05 +3.998074e+07 -4.063438e+11 +1.778276e+11 +7.177723e+12 +1.090541e+15 +7.978179e+18 +4.960219e+17   +6.033317e-07 +8.114778e-05 -2.996296e-03 +1.943030e-02 +2.787151e+00 -6.510866e+02 -3.254389e+03 -1.598528e+05 -2.650747e+07 +1.167492e+10 -3.049331e+11 +1.221064e+13 +7.545424e+14 -1.503690e+17 +1.014062e+19   
Q30-011   +3.998050e+00   -2.134352e-06 -9.935866e-02 -7.749275e-03 -6.801686e-02 -4.093608e+00 +5.250412e+03 +1.243201e+04 -1.328881e+05 -3.892190e+07 -4.111494e+11 -1.893546e+11 +3.068708e+12 -1.356533e+15 +8.071300e+18 +8.828404e+17   -5.832146e-07 +6.060995e-05 +5.170606e-04 +5.475599e-02 +1.949148e+00 -4.280299e+02 -5.216901e+03 -2.566264e+05 -2.110744e+07 +1.232353e+10 -8.847005e+10 -1.207268e+13 +3.437058e+14 -4.175943e+16 +2.532212e+18   
Q30-013   +3.998050e+00   +1.253002e-06 -9.887373e-02 +2.229401e-03 -1.534573e-02 +2.504301e+00 +5.035127e+03 -2.520384e+04 -8.097503e+05 +1.199770e+06 -4.042243e+11 -2.633766e+11 -4.617281e+13 +6.246850e+14 +7.929135e+18 +5.555541e+18   +9.762074e-07 +6.194190e-05 -2.746884e-03 +4.920159e-02 +3.760573e+00 -3.481095e+02 +4.849229e+03 +2.183571e+06 -1.632796e+07 +1.084108e+10 +4.474136e+11 -4.743305e+12 -2.608662e+15 +4.885459e+17 +2.440727e+19   
Q30-014   +3.998400e+00   -5.246996e-07 -9.857118e-02 -6.308213e-03 -6.142765e-02 -2.994513e+00 +4.942282e+03 +1.211429e+04 -4.228982e+05 -3.664921e+07 -4.053199e+11 -4.082030e+11 -1.232024e+13 -6.282986e+14 +7.864506e+18 -3.370131e+18   +6.449377e-07 +5.140131e-05 -3.961587e-03 +7.706978e-02 +4.846594e+00 -3.052761e+02 +1.128726e+04 +8.624565e+05 +2.075536e+07 +5.414661e+09 +4.552308e+10 -1.017306e+13 -4.208936e+14 -1.676867e+17 +1.428093e+19   
Q30-015   +3.997900e+00   -3.528795e-07 -9.845864e-02 -2.514305e-03 -2.016771e-02 -3.512757e+00 +5.150466e+03 -6.110073e+03 -4.974121e+05 +1.108020e+08 -4.027612e+11 -6.719950e+11 +5.599320e+12 -7.386766e+15 +7.894227e+18 -3.988624e+19   +2.144405e-08 +6.977266e-05 -3.013910e-04 +5.987774e-02 +2.046840e+00 -3.286766e+02 +1.495232e+04 +2.242363e+06 +9.235489e+06 +2.221286e+10 -4.770259e+11 -5.213997e+13 +1.396769e+15 -1.795388e+17 +1.252856e+19   
Q30-016   +3.997850e+00   +1.505831e-06 -9.842738e-02 -7.648389e-04 -4.858774e-02 -1.052154e-01 +4.819706e+03 -1.828711e+02 +6.163125e+05 +2.215379e+08 -4.106840e+11 -5.731816e+11 +1.743756e+13 +5.957890e+15 +7.715337e+18 -3.536193e+19   +2.067121e-08 +5.144780e-05 +2.007488e-03 +4.224115e-02 -7.682099e-01 -4.359561e+02 +4.738284e+03 -1.923574e+06 -2.962315e+07 -3.801113e+09 +3.575742e+11 -7.528291e+13 -6.999410e+15 -6.184822e+17 +3.544593e+18   
Q30-017   +3.997950e+00   -2.094974e-06 -9.894724e-02 -7.759527e-03 -1.617814e-01 -1.569860e+00 +4.997619e+03 +1.376921e+04 +5.007979e+05 -5.228432e+07 -4.016473e+11 -3.072144e+10 -9.856627e+12 +2.129253e+15 +7.927020e+18 -9.414565e+18   +1.195713e-06 +5.738523e-05 -2.491225e-03 +9.997209e-02 +2.660076e+00 -5.138036e+02 +7.058147e+03 -3.449565e+05 +2.083490e+07 +1.616008e+10 -1.397219e+11 -1.522440e+12 -1.204340e+15 -4.150202e+17 +1.846742e+19   
Q30-019   +3.997950e+00   +3.466004e-06 -9.854528e-02 +4.647144e-03 -1.482872e-01 -1.173072e+00 +5.070026e+03 -1.497229e+04 +6.431476e+05 +8.866021e+07 -4.023377e+11 +4.052087e+11 -9.896672e+12 +1.867991e+15 +8.216001e+18 +3.840451e+18   +6.998402e-07 +4.280081e-05 -1.927541e-03 +5.116825e-02 +3.200648e+00 -4.338596e+02 -1.305054e+04 +6.751843e+05 -5.439633e+07 +8.153764e+09 -3.222151e+11 +1.684855e+12 +4.695101e+14 -1.843849e+17 +1.927117e+19   
Q30-020   +3.997750e+00   +1.377253e-07 -9.864989e-02 -3.439140e-03 +4.061560e-03 -2.648477e+00 +5.021737e+03 +1.708941e+04 -2.892062e+05 +1.943308e+07 -4.116663e+11 -5.132359e+11 +3.105792e+11 +2.902918e+15 +8.039942e+18 +6.198779e+19   +1.415715e-06 +4.705284e-05 -6.054451e-03 +9.741174e-03 +6.892357e+00 -3.219751e+02 +2.468522e+03 -1.328215e+05 -9.853440e+07 +7.560705e+09 +2.987753e+11 +4.903868e+13 +4.351618e+15 +1.965073e+17 +1.937179e+19   
Q30-021   +3.997950e+00   +3.617804e-06 -9.897237e-02 +6.800888e-03 -1.006992e-01 +3.314701e+00 +4.896299e+03 -2.778542e+04 +9.606783e+05 +1.326361e+08 -4.026389e+11 -1.648834e+11 -2.664888e+13 -3.963504e+15 +7.872202e+18 -1.268972e+19   +1.045290e-06 +7.145299e-05 -2.670844e-03 +2.095707e-02 +3.066259e-01 -6.836819e+02 -2.945575e+03 +7.405515e+04 +3.059936e+07 +2.892407e+10 -2.277757e+10 +3.319211e+13 +5.366928e+14 -4.889636e+17 -1.550016e+19   
Q30-022   +3.998050e+00   -2.315968e-07 -9.873748e-02 -4.965338e-03 +3.210258e-02 -4.504413e+00 +4.906815e+03 +1.965850e+04 -3.234044e+05 -3.500379e+07 -4.054226e+11 +5.705899e+11 -1.022161e+12 +1.008093e+15 +7.670764e+18 -5.470492e+19   +3.060742e-06 +6.967289e-05 -1.014787e-02 +9.110281e-02 +8.995793e+00 -2.749841e+02 +9.688483e+03 +1.031160e+05 -1.196972e+08 +5.633959e+09 +1.706769e+10 +1.538119e+13 -7.876915e+15 -5.657668e+17 -2.434004e+19   
Q30-023   +3.998100e+00   +1.294507e-06 -9.892999e-02 -3.517358e-03 -1.694329e-01 -4.809082e+00 +5.090868e+03 +6.217308e+03 +9.111330e+05 +7.907213e+07 -4.072980e+11 +3.042758e+11 +2.521660e+13 -5.527833e+15 +8.182152e+18 +4.439476e+19   +1.765317e-07 +5.525212e-05 +1.547335e-04 +6.625655e-02 -3.430029e-01 -4.435037e+02 -8.299332e+03 +3.471932e+05 -1.314288e+07 +7.448716e+09 -2.352739e+10 +6.089375e+12 -6.937780e+14 -8.292446e+17 -3.930469e+19   
Q30-024   +3.998100e+00   -2.004223e-06 -9.868575e-02 -1.114795e-02 -5.907466e-02 -6.370836e+00 +5.065469e+03 +2.529301e+04 +9.594482e+04 +4.846637e+07 -4.076756e+11 -3.536187e+10 -7.001783e+13 -9.127551e+14 +8.242578e+18 +4.968340e+18   -1.386377e-06 +4.731803e-05 +6.298747e-03 +1.059604e-01 -1.931537e+00 -2.657642e+02 -1.661103e+04 +3.374040e+04 +4.787091e+07 +1.057412e+10 +1.452771e+11 -4.378147e+13 +3.105012e+15 -1.012200e+17 +3.381384e+18   
Q30-025   +3.998050e+00   -1.051699e-06 -9.932252e-02 -5.522027e-03 -2.495068e-02 -1.855601e+00 +5.141699e+03 -6.759193e+03 -5.901244e+05 +3.784863e+07 -4.108933e+11 -4.119663e+11 +2.245281e+13 -8.550096e+14 +8.323588e+18 -1.628917e+19   +1.513177e-07 +3.907750e-05 +2.909331e-04 +1.062742e-01 +2.028629e+00 -2.320947e+02 -2.448374e+03 -2.225005e+05 -1.315773e+08 +1.124623e+10 +2.265018e+11 -5.417083e+13 -8.130013e+15 +6.567794e+16 +2.864521e+19   
Q30-026   +3.998000e+00   +1.814275e-07 -9.874135e-02 -1.674483e-03 -2.929747e-02 -2.052740e+00 +5.036246e+03 -1.067093e+04 -4.103657e+05 +2.934945e+07 -4.018704e+11 +4.385275e+11 -1.083671e+12 +1.389738e+15 +8.368727e+18 -1.685099e+19   +7.414265e-07 +5.931118e-05 -3.085073e-03 +1.038438e-01 +5.294097e+00 -6.008564e+02 -3.171621e+03 -8.838392e+04 -4.124005e+07 +2.047666e+10 +3.295285e+11 -1.956780e+13 +3.275553e+15 -5.006456e+17 +5.499370e+18   
Q30-027   +3.998950e+00   -7.935661e-07 -9.859045e-02 -5.767409e-03 -3.607189e-02 -6.031226e-01 +4.584776e+03 +8.625487e+04 +1.852517e+06 -3.809282e+07 -4.272489e+11 +1.792737e+12 +3.174111e+13 -4.946736e+15 +7.637235e+18 +1.012866e+19   +1.653679e-06 +5.278131e-05 -4.544185e-03 +7.406249e-02 -3.161400e+00 -1.203416e+02 +3.147771e+04 -1.502797e+06 -3.710101e+08 +4.511332e+10 -2.344070e+11 -2.538554e+14 +8.643296e+14 +1.381710e+18 -1.124239e+19   
Q30-029   +3.998550e+00   +3.059887e-06 -9.870433e-02 +3.275527e-03 -7.254650e-02 +4.674142e+00 +5.244714e+03 -1.631045e+04 -7.603094e+05 +1.378827e+08 -4.054280e+11 -1.756470e+11 -3.528214e+13 +4.618697e+14 +8.289122e+18 -1.454987e+19   -3.027322e-07 +5.358210e-05 +7.414275e-04 +1.345365e-01 +2.105100e+00 -6.035743e+02 -7.028943e+03 -1.810839e+06 +1.082361e+07 -2.691731e+09 +9.398022e+11 -1.248423e+14 -1.234320e+15 +9.095089e+15 +2.556179e+19   
Q30-030   +3.998050e+00   -2.236162e-06 -9.903741e-02 -1.175177e-02 -1.785237e-01 -6.985963e+00 +5.517440e+03 +2.101579e+04 +5.274704e+05 +9.059334e+06 -4.087618e+11 +1.664700e+11 +6.042000e+12 -3.453956e+15 +8.116474e+18 -1.069371e+19   +3.460382e-06 +5.763545e-05 -1.340465e-02 +1.953585e-02 +9.428121e+00 -4.857908e+02 +2.702075e+04 +4.988935e+05 -5.816275e+06 +1.340094e+10 -8.092413e+11 -1.459291e+13 +9.071803e+14 -1.702800e+17 +3.322440e+18   
