# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-004   +3.997900e+00   +1.637145e-06 +1.119902e-04 -2.654461e+00 +4.047015e-02 -5.057548e+00 -1.041096e+02 -1.603221e+04 +2.900080e+05 +1.076486e+09 -1.394743e+09 +7.384332e+10 +1.283554e+13 +5.733067e+14 -3.827399e+16 -3.316136e+20   +8.277723e-07 +1.602886e-04 +6.175617e-04 -2.255278e-02 -4.670327e+00 +1.413330e+02 +1.162829e+04 -4.594972e+05 -5.077038e+08 +3.919260e+09 +1.832886e+10 +6.623022e+12 -1.423919e+15 +1.970173e+17 +8.301893e+19
S15-006   +3.997600e+00   +1.182519e-06 +7.138818e-05 -2.690709e+00 -1.217356e-01 -1.302179e+01 +2.943241e+00 -2.450923e+04 -4.150693e+05 +1.106068e+09 -1.008830e+09 +9.547601e+10 +1.975471e+12 +1.956766e+15 +4.896873e+16 -3.413913e+20   +3.364281e-07 +1.166695e-04 +1.998978e-03 -2.135117e-02 +1.878559e+00 +4.008645e+01 -2.620357e+03 -4.358430e+04 -4.445220e+08 +3.688986e+09 +1.417467e+11 -2.685271e+12 -3.307277e+14 +7.724617e+16 +7.390907e+19
S15-008   +3.998150e+00   +1.652956e-06 +3.720298e-05 -2.707032e+00 -1.756079e-01 +1.250222e+00 +1.796893e+02 -1.241705e+04 +1.313347e+05 +1.150352e+09 +3.235536e+08 -2.248996e+11 +4.581844e+12 -9.632848e+13 +5.126799e+16 -3.683569e+20   +2.534605e-07 +1.402755e-04 +5.356552e-04 -3.872566e-02 -2.798654e+00 +1.134106e+02 +7.521546e+03 -5.103385e+04 -2.453687e+08 -3.413206e+09 +2.193230e+11 +2.368734e+13 +2.338327e+14 +9.008719e+16 +2.295286e+19
S15-009   +3.998150e+00   +8.645986e-07 +7.249563e-05 -2.700552e+00 -1.585046e-01 -1.647588e+01 +2.010197e+01 -2.585271e+04 -7.895629e+05 +1.155543e+09 +2.790781e+09 +2.402122e+11 +1.656523e+13 +7.273121e+14 +2.508215e+16 -3.718872e+20   +9.025449e-07 +1.374136e-04 -7.993707e-04 -1.244679e-01 -1.154153e+00 +7.484829e+01 -1.287949e+04 +5.714951e+05 -2.317732e+08 +1.910240e+09 +5.085440e+11 -1.727625e+12 +1.948433e+14 +2.496406e+16 +4.059768e+19
S15-010   +3.997550e+00   +7.931308e-07 +1.903755e-04 -2.684472e+00 +2.493800e-01 -1.454265e+01 +5.324781e+01 -1.667219e+04 +3.218249e+05 +1.194225e+09 -2.391883e+09 +2.627439e+11 +2.710800e+11 +1.196092e+15 +6.964848e+16 -3.892892e+20   +2.484164e-07 +1.473782e-04 -8.042524e-04 -1.592501e-01 +1.061527e+01 +2.878951e+01 -1.404601e+04 +4.554457e+05 -4.314077e+07 -1.499344e+09 -3.565686e+10 +1.636715e+12 -3.080274e+14 +1.773855e+17 -4.626744e+18
S15-014   +3.998050e+00   +1.807994e-06 +1.231689e-04 -2.679296e+00 +6.565005e-03 -1.443975e+01 -7.167347e+01 -3.903390e+04 -8.376939e+05 +1.152527e+09 -2.669649e+09 -6.440370e+10 +2.399319e+13 +5.758010e+15 +2.357668e+17 -3.722630e+20   +8.100166e-07 +1.197162e-04 -1.268549e-04 +1.078581e-01 -5.479591e-01 +9.482473e+01 -2.292938e+03 -1.087729e+06 -2.219585e+08 -4.179002e+08 -5.299046e+10 +5.319028e+13 +1.219827e+14 +5.418487e+16 +1.414717e+19
S15-016   +3.998100e+00   +1.606794e-06 +4.730950e-05 -2.643708e+00 -1.941694e-01 +2.823901e+00 -3.302784e+01 -2.209841e+03 -6.773605e+04 +1.205033e+09 +1.102774e+09 -2.058481e+11 +1.703357e+13 +5.322118e+14 +7.083995e+16 -3.638941e+20   +4.130402e-07 +1.121329e-04 -1.613683e-03 +5.730577e-02 +4.060321e+00 +1.807467e+02 +5.921485e+02 -2.306699e+05 -5.568177e+07 -4.044116e+09 -6.750959e+10 -6.875809e+11 -1.798352e+15 +1.545307e+17 -5.620740e+18
S15-017   +3.997950e+00   +1.471992e-06 +1.054975e-04 -2.641926e+00 -1.324057e-01 -4.412969e+00 -1.374873e+02 -9.099143e+03 -3.943398e+05 +1.243929e+09 +1.677307e+09 +2.015055e+11 +1.399421e+13 +5.394112e+14 +1.509785e+17 -3.660241e+20   +4.817321e-07 +1.685633e-04 -2.741993e-03 -6.700211e-02 +4.279611e+00 +1.264745e+02 -7.110994e+03 -4.368794e+04 -5.131160e+07 -1.105347e+09 -4.910004e+10 +7.030556e+12 -1.580939e+15 +9.624523e+16 -3.274088e+17
S15-018   +3.997450e+00   +1.471831e-06 +1.153861e-04 -2.651253e+00 -7.645592e-02 -2.713860e+00 +8.129513e+01 -8.970524e+02 -1.238181e+05 +1.075582e+09 +1.167991e+09 -1.642047e+10 +1.825476e+12 +1.234032e+14 +1.739196e+17 -3.397281e+20   +8.801258e-07 +1.574662e-04 +6.894213e-04 -1.943241e-02 -6.054205e+00 +1.004134e+02 +3.755439e+03 +3.102911e+05 -3.221489e+08 -2.934631e+09 +5.135201e+11 -3.354178e+12 -6.655548e+14 +7.150563e+16 +4.671801e+19
S15-021   +3.998000e+00   +1.937405e-06 +9.411153e-05 -2.651741e+00 -1.845791e-01 -6.088684e+00 +4.208654e+02 -1.612347e+04 -2.870268e+05 +1.291122e+09 +1.970148e+09 -9.436358e+10 -7.595035e+12 +1.485822e+15 +1.342714e+17 -3.659390e+20   +1.387083e-06 +1.502738e-04 -1.228437e-03 -1.064480e-01 -7.865295e+00 +8.782604e+01 +9.104547e+03 -1.170487e+05 -6.515848e+07 -1.077425e+08 +5.575215e+10 -4.261703e+12 -6.418287e+14 -3.660880e+16 -3.148797e+18
S15-026   +3.998700e+00   +1.450761e-06 +1.770543e-04 -2.650379e+00 +8.828584e-03 -5.064041e+00 -6.755005e+01 -1.286950e+04 -8.223473e+05 +1.249757e+09 -5.401863e+09 +3.922465e+11 +2.163936e+13 +8.440336e+14 +2.999625e+17 -3.480471e+20   -1.096282e-06 +1.563575e-04 -1.416028e-03 -1.140792e-02 +8.346290e-01 +9.967810e+01 -6.658001e+03 -5.954938e+05 -2.927712e+08 +8.408685e+08 +4.014615e+11 +3.896579e+13 +1.474468e+15 +4.346798e+16 +4.407660e+19
S15-027   +3.997600e+00   +1.446246e-06 +1.403336e-04 -2.670970e+00 -8.179713e-02 -1.420391e+00 +1.792476e+01 +1.100457e+03 -4.108635e+05 +1.327520e+09 -1.782426e+09 +2.435948e+11 +3.324240e+13 +1.968344e+14 +5.233548e+16 -3.745365e+20   +8.084541e-07 +1.969254e-04 -2.774252e-03 -1.608380e-01 +2.559951e+00 +1.481607e+02 -3.577582e+03 +5.282157e+05 -2.054855e+07 +1.235272e+08 +1.967157e+11 +2.897631e+13 -1.855139e+15 +1.629575e+17 -3.061832e+18
