# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-005   +8.999830e+01   +3.130659e-08 +7.729310e-05 -2.255906e+00 -2.267424e-02 -7.249116e+00 +1.008989e+02 -1.794313e+04 -1.163788e+05 +1.375440e+09 -3.553724e+08 +1.116147e+11 -3.656838e+12 +1.197404e+15 +6.579900e+16 -3.308574e+20   +1.315798e-07 +1.023730e-04 -4.448520e-04 +5.794677e-03 +1.305000e+00 +7.246348e+01 -2.319679e+03 -3.312724e+05 -7.207028e+07 -2.695050e+08 +3.158787e+10 -3.791431e+12 -2.096466e+14 +9.042137e+16 -1.522763e+18   
S15-007   +8.999825e+01   +2.635841e-07 +7.902107e-05 -2.258399e+00 -4.967820e-02 -8.145458e+00 +1.592711e+02 -2.212544e+04 -2.018475e+05 +1.282074e+09 +2.642479e+09 -1.206120e+10 +2.372783e+12 +5.401481e+14 +1.295511e+17 -3.043274e+20   -2.771007e-08 +1.087512e-04 +5.634035e-04 +2.010671e-02 -5.336468e-02 -3.284637e+01 +5.503636e+03 -6.561212e+05 -2.411570e+08 -2.255055e+09 +5.105585e+10 +7.611755e+12 -1.094998e+15 +1.210535e+17 +4.301928e+19   
S15-011   +8.999770e+01   +2.280923e-07 +5.463857e-05 -2.255648e+00 -6.770409e-02 -5.497789e+00 +6.472370e+01 -1.401755e+04 -1.633247e+05 +1.393572e+09 -4.034536e+07 -8.068488e+09 +5.736454e+11 +5.355357e+14 +6.272487e+16 -3.316704e+20   +1.689547e-07 +9.418557e-05 -1.737222e-03 +4.733987e-02 -2.504695e+00 -2.818571e+00 +6.407256e+03 -1.847478e+05 -8.560644e+07 -1.001080e+09 +7.044109e+10 -4.539536e+11 -3.698872e+14 +2.773175e+16 +4.854257e+18   
S15-012   +8.999805e+01   +2.267499e-07 +6.448299e-05 -2.254607e+00 -1.360783e-01 -7.476601e+00 +1.327182e+02 -1.729842e+04 -5.231119e+05 +1.424452e+09 +1.119070e+09 +8.946704e+10 +2.679362e+12 +8.830006e+14 +9.697751e+16 -3.372605e+20   +9.139866e-08 +9.723585e-05 -1.419914e-03 -3.680969e-02 -2.724565e+00 +3.463799e+01 +4.570493e+03 -1.051712e+05 -1.114569e+08 +6.580935e+08 +3.052462e+10 -9.284862e+11 -2.610828e+14 +1.051215e+17 +1.005593e+18   
S15-013   +8.999840e+01   +3.224882e-07 +7.804080e-05 -2.250997e+00 +4.630598e-02 -7.725517e+00 -2.119184e+02 -2.029672e+04 +8.136855e+04 +1.355741e+09 +2.061129e+09 +6.570090e+10 +1.033520e+12 +1.206380e+15 +6.975060e+16 -3.248272e+20   +1.312100e-07 +1.349320e-04 -5.250450e-04 +3.930533e-03 +3.417996e+00 +1.281265e+02 -4.977282e+03 -4.317005e+05 -1.759936e+08 +6.036976e+08 +1.758313e+11 -2.215218e+13 +1.230817e+14 +1.539723e+17 +2.334588e+19   
S15-015   +8.999795e+01   +2.701610e-07 +7.877634e-05 -2.255086e+00 +5.289832e-04 -4.221477e+00 -4.452680e+02 -1.275449e+04 +1.685842e+04 +1.487888e+09 -2.164596e+08 -2.857174e+10 +6.693758e+12 +4.787219e+14 +5.711281e+16 -3.331785e+20   -2.332115e-07 +1.124499e-04 -8.220193e-04 -2.790457e-02 -1.002768e+00 +8.993590e+00 +7.914487e+03 -2.616577e+05 -1.920528e+07 -5.059233e+08 +4.099243e+10 +5.191814e+12 -7.391981e+14 +1.327209e+17 -2.530024e+18   
S15-019   +8.999800e+01   +1.237362e-07 +7.312128e-05 -2.252301e+00 -4.115965e-03 -2.778924e+00 +3.341999e+01 -9.665928e+03 -2.086097e+05 +1.391545e+09 +8.339425e+07 -1.541888e+11 +1.009467e+13 +3.450516e+14 +1.185571e+17 -3.186744e+20   -9.043861e-08 +1.357598e-04 +5.785133e-04 -4.913475e-02 -7.382497e+00 +1.844710e+01 +1.441336e+04 -3.302683e+05 -1.981998e+08 +2.562158e+08 +9.912556e+10 -2.044780e+12 -4.537973e+14 +9.885172e+16 +2.960076e+19   
S15-020   +8.999815e+01   +1.803119e-07 +7.386840e-05 -2.255143e+00 -4.561409e-02 -3.178873e+00 -5.562397e+01 -9.773475e+03 +3.396148e+04 +1.488919e+09 +4.950114e+08 -6.835637e+10 +3.992577e+12 +6.724395e+14 +1.866027e+16 -3.376207e+20   +1.107297e-07 +1.189442e-04 -2.148514e-03 -1.665180e-02 -4.477325e-01 +5.083961e+01 +2.709396e+02 -1.723235e+05 -8.935701e+07 +7.781360e+08 +1.057372e+11 -5.108549e+12 -2.380912e+14 +1.008102e+17 -7.353903e+18   
S15-022   +8.999725e+01   +1.099253e-07 +9.951312e-05 -2.249908e+00 -5.096312e-02 -7.779282e+00 +2.132850e+01 -1.551492e+04 -2.140758e+05 +1.490760e+09 +6.779880e+08 +1.123528e+08 +3.443463e+12 -3.432792e+13 +1.045952e+17 -3.416092e+20   -3.246630e-08 +1.215298e-04 -1.486831e-03 -4.340903e-02 +6.911773e+00 +2.033699e+01 -1.329992e+04 -3.232672e+04 -1.250106e+08 +2.012268e+08 -7.580163e+09 +1.706621e+12 -1.435452e+14 +7.231912e+16 -4.384335e+18   
S15-023   +8.999835e+01   +2.218320e-07 +1.040530e-04 -2.253364e+00 +1.280020e-02 -2.920624e+00 +5.767716e+02 -8.087632e+03 -2.748085e+03 +1.463037e+09 -7.996671e+08 +3.326227e+10 -3.246760e+12 +2.924026e+14 +5.532760e+16 -3.324308e+20   +1.230756e-07 +1.094185e-04 -1.024514e-03 -1.543548e-02 +1.337749e+00 -8.461851e+00 -4.018071e+03 +6.995632e+04 -3.631499e+07 -1.683513e+09 +2.242749e+10 +1.730722e+12 +1.190995e+13 +6.756356e+16 -4.171642e+18   
S15-024   +8.999805e+01   +3.362933e-07 +1.196475e-04 -2.252082e+00 -7.193060e-02 -8.661153e+00 -4.678495e+01 -1.909559e+04 -2.437174e+05 +1.340005e+09 -2.414401e+09 +2.089529e+10 +1.019793e+13 +6.970980e+14 +8.227754e+16 -3.072795e+20   -1.136814e-07 +1.400045e-04 -5.649135e-04 -4.750348e-02 +3.431163e-02 -2.348770e+01 -1.213272e+03 -1.867590e+05 -2.557365e+08 +1.089519e+09 +2.105091e+10 +1.490141e+13 +4.718103e+14 +1.794262e+17 +3.760693e+19   
S15-025   +8.999820e+01   +2.094416e-07 +1.079061e-04 -2.251945e+00 -1.460997e-02 -3.157155e+00 -1.768901e+02 -9.842951e+03 -1.309675e+05 +1.336496e+09 -6.217798e+08 -1.429456e+11 -3.943488e+12 +9.742293e+14 +1.107474e+17 -3.075324e+20   -1.333677e-07 +1.661922e-04 -5.234980e-04 -5.316513e-02 -1.931133e+00 +5.049249e+01 +5.629429e+03 -2.023004e+05 -2.421127e+08 -1.167494e+09 -1.717397e+11 -1.132742e+13 -6.743977e+14 +1.799198e+17 +3.489136e+19   
S15-028   +8.999840e+01   +2.850195e-08 +1.248556e-04 -2.251688e+00 -6.191839e-02 -7.174562e+00 +2.002159e+02 -1.337274e+04 -6.532137e+05 +1.324379e+09 +1.780064e+09 +9.478583e+10 -2.749178e+12 +9.480097e+14 +1.719636e+17 -3.076568e+20   -2.291829e-07 +1.315599e-04 -4.981152e-04 -3.026576e-02 +3.154292e+00 +1.694083e+01 -2.393523e+03 -3.567171e+05 -2.897785e+08 +5.167802e+08 +7.255910e+10 +1.975310e+12 -2.765763e+14 +1.199032e+17 +3.583038e+19   
S15-039   +9.000020e+01   -5.399589e-08 +6.481570e-05 -2.250687e+00 -2.698874e-03 -1.106733e+01 -1.356700e+02 -2.218812e+04 +1.496589e+05 +1.483519e+09 +1.216991e+08 +9.062888e+10 +5.358634e+12 +7.374960e+14 +4.454977e+16 -3.302868e+20   +1.813899e-07 +1.058230e-04 -9.039807e-04 +5.216663e-02 -6.552559e+00 +4.412737e+01 +1.060683e+04 -5.207087e+05 -2.654856e+07 -5.333615e+08 +1.172095e+11 -5.337816e+12 -8.303928e+14 +1.385728e+17 -8.600155e+18   
S15-042   +8.999855e+01   +1.380266e-07 +9.378993e-05 -2.253889e+00 -8.773036e-02 -1.400994e+00 -1.811186e+02 -5.702020e+03 -1.648493e+05 +1.420424e+09 +1.914262e+09 +7.866985e+10 +4.525843e+11 +4.738115e+14 +9.521313e+16 -3.329664e+20   -1.105022e-08 +1.148443e-04 -1.923513e-03 -1.283056e-02 +6.284653e+00 -6.209834e+01 -9.326265e+03 -1.268847e+04 -7.890965e+07 +3.978875e+07 -5.045762e+10 +5.770205e+12 +4.341937e+13 +9.238121e+16 +5.657292e+18   
S15-049   +8.999895e+01   -3.156126e-08 +8.707170e-05 -2.249732e+00 -2.767555e-02 -8.093308e+00 +1.768375e+02 -1.643439e+04 -2.520692e+05 +1.467670e+09 -3.363819e+08 +8.082052e+10 +3.837473e+12 +7.805292e+12 +8.022311e+16 -3.278234e+20   -5.510337e-08 +1.363614e-04 -6.033744e-06 -6.659258e-02 +2.070370e+00 -1.613093e+01 +7.626580e+02 +4.536150e+04 -8.595199e+07 +4.876574e+08 +5.026540e+10 -1.459509e+12 -1.641464e+14 +1.036147e+17 +7.879916e+18   
S15-063   +8.999785e+01   +8.981578e-08 +9.254063e-05 -2.249372e+00 -2.044517e-02 -3.758800e+00 +1.731589e+02 -9.904074e+03 -2.397832e+05 +1.468548e+09 -5.510295e+08 +7.233473e+09 -3.124439e+12 +8.062103e+14 +8.993652e+16 -3.337472e+20   +3.467218e-07 +1.463074e-04 -6.887413e-04 -1.229440e-01 -7.975367e+00 +6.269925e+01 +1.250923e+04 +1.235061e+05 -6.616112e+07 +1.441621e+09 +1.076481e+11 +8.462053e+11 -8.682997e+14 +1.339110e+17 +2.132335e+18   
S15-064   +8.999735e+01   +2.464770e-07 +6.032063e-05 -2.250431e+00 -3.297558e-02 -6.032297e+00 +2.741163e+02 -1.498021e+04 -1.444497e+05 +1.432392e+09 -3.379232e+08 +3.986310e+10 -4.091134e+12 +9.514358e+14 +5.856607e+16 -3.301319e+20   +1.005097e-07 +1.095498e-04 +1.416526e-04 -1.538890e-02 -8.209464e+00 +1.377725e+01 +1.593102e+04 -1.358902e+05 -8.659926e+07 -6.708913e+08 +1.175568e+11 +1.580893e+12 -5.847878e+14 +1.023747e+17 +5.121906e+18   
S15-065   +8.999790e+01   +2.776707e-07 +1.001779e-04 -2.248050e+00 -1.197208e-02 -1.132978e-01 -1.821936e+02 -4.540995e+03 -7.291068e+04 +1.403112e+09 -5.265187e+07 -1.301537e+11 +3.822909e+12 +4.059740e+14 +8.850863e+16 -3.196290e+20   +8.173581e-08 +1.302275e-04 -4.490276e-04 -4.493624e-02 +4.756788e-01 +1.604066e+01 +2.746600e+02 -2.416153e+05 -1.048764e+08 +4.135284e+08 +5.788765e+10 +1.603332e+12 -7.532462e+14 +1.459272e+17 +3.672133e+18   
S15-067   +8.999925e+01   +1.375427e-07 +6.037574e-05 -2.246790e+00 -3.376440e-02 -9.859487e+00 -6.275012e+01 -2.284737e+04 -1.647978e+05 +1.453379e+09 +5.009595e+07 +7.369186e+10 -7.599636e+11 +8.938313e+14 +7.482713e+16 -3.246231e+20   +5.218912e-09 +1.120079e-04 +7.146468e-05 -4.955621e-03 -2.052938e+00 +3.244369e+01 +5.570469e+03 -3.652595e+05 -7.595983e+07 -3.052472e+08 +1.108659e+11 +2.605328e+12 -5.335520e+14 +1.187227e+17 +5.170556e+18   
S15-068   +8.999850e+01   +5.028070e-08 +8.502428e-05 -2.248777e+00 -2.749631e-02 -5.575066e+00 +3.525423e+02 -1.171691e+04 -4.661207e+04 +1.451954e+09 -1.080241e+08 +1.705060e+10 -7.456833e+12 +4.509447e+14 +6.958388e+16 -3.275152e+20   +1.114972e-07 +1.071948e-04 -1.594244e-04 -2.794474e-02 +1.490629e+00 +4.347654e+00 -3.032122e+03 -1.580114e+05 -7.528261e+07 +2.884510e+08 +1.304243e+10 +2.477762e+12 -7.034151e+13 +1.181702e+17 +3.706263e+18   
S15-071   +8.999870e+01   +1.015893e-07 +1.100954e-04 -2.247962e+00 -5.665923e-03 -8.474488e+00 +1.384938e+02 -2.018667e+04 -1.721030e+05 +1.438285e+09 +3.544253e+07 +6.357304e+10 +7.293665e+11 +8.578771e+14 +9.833889e+16 -3.316665e+20   +3.708667e-08 +1.272826e-04 -8.589197e-04 -7.748884e-03 -1.974073e+00 +3.157158e+01 +6.853003e+03 -2.955182e+05 -2.534321e+07 +9.879244e+07 +7.002933e+10 +2.717148e+11 -5.770934e+14 +1.521752e+17 -1.335024e+18   
