# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
TBQ-001   -9.023739e+00   -1.222599e-06 -8.336267e-02 +2.298247e-03 -4.743611e-02 +1.924210e+00 +4.116554e+03 -2.446071e+03 +6.910414e+04 +2.791039e+06 -1.085032e+10 -5.547309e+09 -2.484785e+11   +1.697207e-06 +9.807985e-05 +1.473825e-03 -3.731823e-02 +8.133507e-01 +8.263671e+00 +7.677100e+02 +9.920865e+04 -1.348744e+06 +1.792942e+08 +1.301257e+10 -2.224701e+11   
TBQ-002   -9.023790e+00   -4.558990e-07 -8.327449e-02 +6.600615e-04 -4.404971e-02 +7.179266e-01 +4.114968e+03 -2.015102e+03 +4.641207e+04 +2.356859e+06 -1.079433e+10 +1.376179e+09 -2.384119e+11   +2.252755e-06 +6.164590e-05 +3.111551e-03 -2.813358e-02 -2.232474e-01 +2.545936e+01 -1.237742e+02 +1.374971e+05 -2.017260e+05 +1.540482e+07 +1.474539e+10 +3.214397e+11   
TBQ-003   -9.026961e+00   -2.036738e-06 -8.326838e-02 -2.163471e-04 -3.372786e-02 +4.588490e-01 +4.157131e+03 -1.102443e+03 +4.474293e+04 +2.780753e+06 -1.082997e+10 +1.622750e+09 -7.371988e+10   +8.677772e-07 +7.763140e-05 +2.571932e-03 -4.192816e-02 -3.018136e-01 +5.895883e+00 +5.962124e+02 +1.218919e+05 -1.757422e+06 -7.083512e+07 +1.349019e+10 +8.742713e+10   
TBQ-004   -9.023784e+00   -1.699493e-06 -8.325229e-02 +7.358196e-04 -8.719134e-03 +1.639901e+00 +4.087495e+03 -2.553680e+03 +1.424480e+05 +3.653293e+06 -1.110684e+10 -9.485204e+09 +6.468128e+11   +1.371101e-06 +1.064575e-04 +2.479655e-03 -4.063764e-02 +7.283314e-02 +1.170384e+01 -8.801327e+02 +8.830020e+04 +3.039815e+06 +1.925494e+08 -2.315504e+09 -5.059422e+11   
TBQ-005   -9.024205e+00   -2.819486e-06 -8.331869e-02 -1.093859e-03 -5.365000e-03 +4.526054e-01 +4.102289e+03 -1.457846e+03 +7.010382e+04 +3.129518e+06 -1.089777e+10 -8.714855e+09 -2.987886e+10   +1.975310e-06 +5.244410e-05 +3.715188e-03 -3.583004e-02 -1.055570e+00 +2.562050e+01 -9.837979e+02 +5.574341e+04 -7.385405e+05 +2.120212e+08 +1.052977e+10 -4.886398e+11   
TBQ-006   -9.023838e+00   -2.390535e-06 -8.336708e-02 -6.585511e-06 -2.468593e-02 +1.134306e+00 +4.083216e+03 -1.822114e+03 +1.178074e+05 +3.527949e+06 -1.110262e+10 -5.838449e+09 +5.698275e+11   -4.170319e-07 +6.752080e-05 +6.160795e-03 -3.772083e-02 -1.497610e+00 +2.646842e+01 -1.256137e+03 +1.033137e+05 +4.153078e+06 +2.784177e+08 +1.143165e+09 -2.885937e+11   
TBQ-007   -9.023844e+00   -3.296165e-06 -8.332820e-02 +5.334411e-04 -2.935560e-02 +1.893478e+00 +4.105847e+03 -2.809903e+03 +9.115057e+04 +2.972711e+06 -1.096655e+10 -9.309161e+09 +5.009099e+10   +4.929774e-07 +9.464606e-05 +2.560273e-03 -3.765120e-02 +8.161995e-01 -5.597590e-02 -7.598824e+02 +9.445373e+04 -2.031757e+06 +2.135448e+08 +5.267857e+09 -5.173968e+11   
TBQ-008   -9.024377e+00   -3.167311e-06 -8.332324e-02 -4.319504e-04 -1.365053e-02 +7.315676e-01 +4.127026e+03 -2.297576e+03 +9.628872e+04 +3.470151e+06 -1.103629e+10 -1.080774e+10 +3.364574e+11   +1.770145e-06 +7.269673e-05 +4.055204e-03 -3.515447e-02 -8.206191e-01 +2.986632e+01 -6.938919e+02 +1.006888e+05 +3.394176e+06 +2.370525e+08 +3.937595e+09 -5.646020e+11   
TBQ-009   -9.023935e+00   -1.979795e-06 -8.327790e-02 +1.503308e-04 -2.355018e-02 -2.917386e-03 +4.156012e+03 -2.837945e+03 +4.230445e+04 +4.291588e+06 -1.088715e+10 -4.646824e+09 -1.567981e+11   +1.722757e-06 +9.797033e-05 +2.818788e-03 -2.776595e-02 -5.442324e-02 +1.081084e+01 -2.611474e+02 +9.343018e+04 -2.414694e+05 +2.148722e+08 +1.216627e+10 -4.902266e+11   
TBQ-010   -9.024119e+00   -2.891462e-06 -8.328914e-02 -5.186963e-04 -2.922218e-02 +7.628381e-01 +4.139562e+03 -2.694192e+03 +1.072217e+05 +2.893875e+06 -1.093372e+10 -8.185451e+09 -3.207091e+10   +1.783421e-06 +8.726129e-05 +1.249488e-03 -3.989424e-02 +1.110385e+00 +1.533736e+01 +5.833610e+02 +1.204895e+05 -2.003335e+06 +2.522991e+08 +7.201584e+09 -4.107922e+11   
