# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
TBQ-001   +5.008501e+00   -3.206678e-07 -8.289390e-02 +2.310717e-03 -4.430264e-02 +1.836471e+00 +4.084913e+03 -2.353445e+03 +5.274199e+04 +3.645809e+06 -1.076712e+10 -6.968854e+09 -2.713265e+11   +2.653157e-06 +9.909893e-05 +1.529430e-03 -3.542321e-02 +7.067745e-01 +1.190967e+01 +4.670020e+02 +9.108651e+04 -1.456185e+06 +9.331804e+07 +1.020973e+10 -5.434880e+11   
TBQ-002   +5.008513e+00   +3.491374e-07 -8.281258e-02 +6.439564e-04 -4.403946e-02 +6.330973e-01 +4.090074e+03 -2.087118e+03 +5.277654e+04 +2.513886e+06 -1.075973e+10 +4.074740e+08 -2.517729e+11   +3.112475e-06 +6.320131e-05 +3.437571e-03 -2.159893e-02 -1.505150e-01 +2.809562e+01 -6.354012e+02 +1.470101e+05 +4.245510e+05 +6.873589e+07 +1.497593e+10 +2.685625e+11   
TBQ-003   +5.015004e+00   -1.109823e-06 -8.269347e-02 -1.136565e-04 -3.197537e-02 +2.145713e-01 +4.116457e+03 -1.042532e+03 +6.115979e+04 +8.768838e+05 -1.072459e+10 +5.050959e+09 -2.665240e+11   +1.873927e-06 +8.015513e-05 +2.601047e-03 -3.427878e-02 -1.756729e-01 +7.826879e+00 +8.323890e+02 +1.685604e+05 -5.806970e+05 +6.063660e+07 +1.155256e+10 +1.201542e+11   
TBQ-004   +5.008524e+00   -1.094645e-06 -8.281769e-02 +4.831793e-04 -6.347788e-03 +1.582939e+00 +4.064744e+03 -2.305420e+03 +1.487598e+05 +4.205233e+06 -1.109773e+10 -7.760819e+09 +7.457175e+11   +2.355570e-06 +1.085278e-04 +2.536178e-03 -3.819507e-02 +1.186402e-01 +1.474702e+01 -9.772652e+02 +1.121636e+05 +1.519355e+06 +2.042989e+08 -5.692316e+09 -6.279984e+11   
TBQ-005   +5.008407e+00   -1.866679e-06 -8.279112e-02 -1.115424e-03 -2.428968e-03 +3.301403e-01 +4.051620e+03 -1.286883e+03 +6.623557e+04 +2.237849e+06 -1.085119e+10 -1.200527e+10 +2.227081e+11   +2.918082e-06 +5.492050e-05 +3.723717e-03 -3.275137e-02 -9.205626e-01 +3.503565e+01 -1.016470e+03 +5.443415e+04 +1.756677e+04 +2.604874e+08 +7.272897e+09 -4.977485e+11   
TBQ-006   +5.008479e+00   -1.394108e-06 -8.289439e-02 +2.556726e-04 -2.030796e-02 +1.139546e+00 +4.058216e+03 -2.204180e+03 +1.241727e+05 +4.710931e+06 -1.107822e+10 -1.092402e+10 +5.331876e+11   +6.798948e-07 +6.938967e-05 +5.955918e-03 -3.745486e-02 -1.558124e+00 +1.689909e+01 -1.656397e+03 +1.010508e+05 +1.960552e+06 +1.340662e+08 +1.258269e+09 -5.304908e+11   
TBQ-007   +5.008505e+00   -2.532261e-06 -8.285405e-02 +4.320565e-04 -2.672969e-02 +1.908583e+00 +4.078379e+03 -2.790765e+03 +7.294284e+04 +2.426568e+06 -1.083181e+10 -7.916079e+09 +1.249520e+10   +1.689937e-06 +9.601967e-05 +2.505460e-03 -3.099785e-02 +8.952875e-01 +7.498775e+00 -7.319186e+02 +1.022596e+05 -6.257736e+05 +2.312892e+08 +2.786568e+09 -4.291091e+11   
TBQ-008   +5.008516e+00   -1.824716e-06 -8.284582e-02 -6.039134e-04 -1.335809e-02 +7.564139e-01 +4.096511e+03 -2.241822e+03 +6.026590e+04 +3.566514e+06 -1.090775e+10 -8.560086e+09 +3.791568e+11   +2.737352e-06 +7.343045e-05 +4.267134e-03 -3.656522e-02 -9.085208e-01 +3.267089e+01 -1.171687e+03 +1.101092e+05 +3.244270e+06 +2.053207e+08 +5.030173e+09 -5.611702e+11   
TBQ-009   +5.008331e+00   -7.851546e-07 -8.279950e-02 +1.417082e-04 -1.791140e-02 +3.614779e-02 +4.095209e+03 -2.938045e+03 +8.569086e+04 +4.897681e+06 -1.098120e+10 -5.082000e+09 +1.808091e+11   +2.878945e-06 +9.742775e-05 +2.600591e-03 -2.506813e-02 +5.351641e-02 +1.578828e+01 -3.623245e+02 +1.013144e+05 -8.603092e+05 +1.938472e+08 +5.276704e+09 -6.503548e+11   
TBQ-010   +5.008400e+00   -2.014783e-06 -8.280435e-02 -4.190292e-04 -2.868982e-02 +6.731198e-01 +4.112451e+03 -2.723888e+03 +9.999155e+04 +3.166075e+06 -1.079752e+10 -1.040948e+10 -2.025855e+11   +2.812982e-06 +8.920897e-05 +1.171724e-03 -3.888935e-02 +9.904526e-01 +8.728804e+00 +6.294813e+02 +1.267059e+05 -2.563815e+06 +2.109863e+08 +7.592714e+09 -6.847480e+11   
